,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,2001-09-25,0.0,0.0,0.0
1,2001-10-11,-1.46,0.59,0.87
2,2002-08-02,6.68,-0.58,-6.1
3,2010-02-05,1.01,0.13,-1.14
4,2013-08-08,-5.03,-4.45,9.48
5,2013-08-17,-6.18,6.18,0.0
6,2013-09-02,-0.93,0.97,-0.04
7,2013-11-12,1.73,-1.77,0.04
8,2014-03-04,-1.88,1.99,-0.11
9,2014-03-20,4.41,-0.14,-4.28
10,2014-04-05,1.89,-1.37,-0.52
11,2014-07-10,-5.39,1.97,3.42
12,2014-10-14,1.45,-2.24,0.79
13,2014-10-23,-2.91,2.68,0.23
14,2015-01-27,10.8,-3.44,-7.36
15,2015-02-12,-2.62,0.27,2.35
16,2015-04-24,-4.67,0.22,4.45
17,2015-09-24,-2.34,1.35,0.99
18,2015-10-01,-0.76,0.86,-0.09
19,2015-10-26,0.13,0.74,-0.88
20,2016-01-30,10.35,-3.67,-6.68
21,2016-03-02,-7.81,0.12,7.69
22,2016-03-18,-0.95,1.43,-0.48
23,2016-04-03,0.57,0.03,-0.6
24,2016-04-10,-2.4,1.46,0.95
25,2016-09-10,3.0,-2.86,-0.14
26,2016-11-20,-0.54,0.95,-0.42
27,2016-12-15,-2.28,2.6,-0.32
28,2017-04-22,1.14,-2.12,0.97
29,2017-05-08,-1.43,2.02,-0.58
30,2017-07-18,3.62,-3.25,-0.37
31,2018-10-02,-0.68,-0.03,0.71
32,2018-10-18,-0.48,0.2,0.28
33,2019-02-07,-2.38,2.51,-0.12
34,2019-02-08,2.85,-0.67,-2.19
35,2019-02-13,6.27,-2.82,-3.44
36,2019-02-14,-1.7,1.62,0.07
37,2019-02-28,-0.03,-0.37,0.4
38,2019-03-02,-6.5,1.22,5.28
39,2019-03-27,1.73,-0.82,-0.91
40,2019-03-30,0.52,-0.16,-0.36
41,2019-04-03,-2.24,2.14,0.1
42,2019-04-14,2.75,-3.52,0.76
43,2019-04-19,-3.89,3.65,0.23
44,2019-05-04,-0.16,0.29,-0.13
45,2019-06-23,2.47,-2.76,0.29
46,2019-07-17,7.77,-7.5,-0.28
47,2019-09-19,-8.86,8.85,0.01
48,2019-10-05,1.81,-1.8,-0.01
49,2019-10-12,-2.89,2.93,-0.04
50,2019-12-30,2.32,-1.23,-1.09
51,2020-01-14,1.13,0.03,-1.16
52,2020-01-19,2.94,-1.65,-1.3
53,2020-02-01,9.58,-3.25,-6.33
54,2020-03-13,-14.29,4.09,10.2
55,2020-04-03,1.94,-0.38,-1.56
56,2020-05-07,-3.68,2.73,0.95
57,2020-06-01,2.15,-2.43,0.28
58,2020-09-21,-0.5,0.18,0.32
59,2020-10-07,-0.32,0.59,-0.27
60,2021-02-03,1.46,-1.72,0.27
61,2021-02-12,0.79,3.34,-4.13
62,2021-02-17,26.14,-29.99,3.85
63,2021-03-14,-13.84,13.86,-0.02
64,2021-03-16,-15.79,15.63,0.17
65,2021-03-19,2.49,-2.06,-0.44
66,2021-08-21,-2.67,2.57,0.11
67,2021-10-17,0.06,-0.34,0.28
68,2021-11-09,5.41,-3.03,-2.39
69,2021-11-19,31.07,-32.71,1.64
70,2022-01-06,-34.98,34.05,0.93
71,2022-01-29,1.52,0.85,-2.38
72,2022-02-23,0.12,-2.49,2.37
73,2022-03-29,-3.03,3.34,-0.31
74,2022-04-08,3.69,-2.94,-0.75
75,2022-04-13,-2.14,2.14,-0.0
76,2022-04-19,-1.18,0.73,0.45
77,2022-04-27,0.72,-0.57,-0.15
78,2022-04-28,-0.58,0.54,0.04
79,2022-05-30,-0.6,0.44,0.17
80,2022-09-03,2.43,-2.98,0.55
81,2022-10-13,-1.64,1.92,-0.28
82,2022-10-21,0.14,-0.15,0.01
83,2022-11-09,-1.0,1.2,-0.2
84,2022-12-24,27.52,-27.53,0.02
85,2023-01-13,-25.19,24.74,0.45
86,2023-03-05,-2.48,2.78,-0.29
87,2023-03-06,-0.01,0.01,0.0
88,2023-03-13,2.03,-2.32,0.29
89,2023-03-29,0.37,-0.37,0.0
90,2023-03-30,-0.09,0.09,0.0
91,2023-04-03,-2.18,2.32,-0.14
92,2023-04-14,3.67,-3.81,0.14
93,2023-04-15,-1.75,1.75,0.0
94,2023-06-01,-1.8,2.3,-0.5
95,2023-06-07,1.14,-1.63,0.49
96,2023-07-07,0.27,-0.28,0.01
97,2023-08-28,-1.17,1.47,-0.3
98,2023-08-29,-0.48,0.47,0.0
99,2023-10-08,2.19,-2.21,0.02
100,2023-12-19,25.69,-25.96,0.28
101,2024-01-11,-27.79,27.95,-0.17
102,2024-01-18,8.35,-3.54,-4.81
103,2024-04-22,-7.89,3.5,4.39
104,2024-05-03,1.26,-1.84,0.59
105,2024-06-28,4.34,-3.44,-0.9
106,2024-08-31,-5.76,5.2,0.55
107,2024-09-24,2.0,-2.06,0.06
108,2024-09-29,-1.47,1.47,-0.0
109,2024-10-10,1.97,-1.99,0.01
110,2024-11-11,0.49,0.52,-1.02
111,2024-11-23,11.06,-11.53,0.47
112,2024-12-05,-12.52,12.41,0.12
113,2025-01-06,6.86,-2.98,-3.87
114,2025-01-21,1.15,1.72,-2.87
115,2025-01-22,21.98,-19.58,-2.4
