Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LC08,2013-07-07,0.31,6.12,-5.0,-100.0,2.24,-11.72,36.84,1301.0,82.2
,LC08,2015-05-10,-0.21,-4.26,-5.0,-100.0,-0.96,-10.2,32.12,1304.16,83.72
,LC08,2017-04-13,-0.66,-13.14,-5.0,-100.0,-3.96,-7.92,26.84,1307.2,86.0
,LC08,2017-05-24,0.35,7.04,-5.0,-100.0,2.52,-9.36,34.76,1300.72,84.56
,S2,2020-03-14,-0.64,-12.78,-5.0,-100.0,-2.64,-16.52,36.76,1305.88,77.4
,S2,2020-04-23,-0.24,-4.82,-5.0,-100.0,-0.44,-5.88,28.32,1303.68,88.04
,LC08,2021-06-11,-0.44,-8.88,0.5,9.9,-2.0,-3.76,24.64,1305.24,90.16
,LC09,2022-03-27,0.27,5.38,-5.0,-100.0,2.24,-7.52,32.64,1301.0,86.4
,LC08,2023-02-18,0.12,2.4,-5.0,-100.0,1.6,-6.96,31.44,1301.64,86.96
,LC09,2023-05-24,-0.36,-7.22,0.58,11.64,-1.68,-2.68,23.88,1304.92,91.24
,LC08,2024-08-06,-0.28,-5.56,0.47,9.46,-1.08,-2.12,23.92,1304.32,91.8
