,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,2000-03-14,0.0,0.0,0.0
1,2000-03-30,-0.42,0.4,0.02
2,2002-02-25,0.38,-0.4,0.01
3,2003-01-18,-0.26,0.29,-0.03
4,2004-10-20,-0.2,0.22,-0.01
5,2004-10-27,0.47,-0.41,-0.05
6,2005-04-21,0.43,-0.47,0.04
7,2006-07-13,37.58,-37.58,0.0
8,2006-12-13,-38.65,38.6,0.05
9,2013-08-17,0.61,-0.58,-0.03
10,2013-10-20,0.24,-0.27,0.03
11,2014-03-29,0.62,-0.61,-0.01
12,2014-09-30,13.2,-13.16,-0.04
13,2014-11-01,-12.8,12.74,0.06
14,2015-02-05,-1.88,1.49,0.39
15,2015-07-31,3.46,-3.44,-0.02
16,2016-02-24,-2.96,3.35,-0.39
17,2017-03-30,1.52,-1.51,-0.0
18,2017-04-15,-2.0,2.03,-0.03
19,2017-09-22,0.94,-0.97,0.03
20,2017-12-27,0.4,-0.41,0.01
21,2018-03-08,-0.78,0.81,-0.03
22,2018-04-09,39.55,-39.5,-0.05
23,2018-04-25,-37.67,37.62,0.05
24,2018-12-17,-0.21,-0.2,0.41
25,2019-01-16,31.56,-31.21,-0.36
26,2019-02-03,-33.15,33.17,-0.01
27,2019-02-15,0.62,-0.62,0.0
28,2019-02-16,-0.0,0.02,-0.01
29,2019-02-18,0.15,-0.15,-0.0
30,2019-02-28,-0.2,0.17,0.02
31,2019-03-02,0.95,-0.95,-0.0
32,2019-03-05,0.47,-0.46,-0.01
33,2019-03-11,-2.14,2.15,-0.01
34,2019-04-14,3.02,-3.04,0.02
35,2019-07-17,-2.36,2.42,-0.06
36,2019-09-21,-0.26,-0.14,0.41
37,2019-10-08,3.51,-3.53,0.01
38,2019-11-02,-4.29,4.27,0.02
39,2019-11-07,2.68,-2.67,-0.0
40,2019-11-20,-2.03,2.03,-0.0
41,2019-11-22,44.83,-44.83,0.0
42,2019-12-20,-45.02,45.4,-0.38
43,2020-01-11,2.81,-2.82,0.01
44,2020-01-16,-2.3,2.3,-0.0
45,2020-01-19,12.14,-12.13,-0.0
46,2020-01-24,-12.59,12.59,-0.0
47,2020-02-10,1.81,-1.8,-0.0
48,2020-03-11,-1.88,1.85,0.03
49,2020-04-03,1.42,-1.39,-0.02
50,2020-04-05,1.3,-1.29,-0.01
51,2020-04-25,-0.93,0.9,0.02
52,2020-05-08,1.88,-1.88,-0.0
53,2020-06-29,-2.07,1.69,0.38
54,2020-09-25,-0.13,0.51,-0.38
55,2020-10-17,-1.46,1.09,0.37
56,2020-12-01,1.82,-1.42,-0.41
57,2020-12-03,-1.78,1.76,0.02
58,2020-12-31,3.06,-3.08,0.02
59,2021-01-03,42.78,-42.77,-0.01
60,2021-01-05,-20.71,20.7,0.0
61,2021-01-15,-25.31,25.3,0.01
62,2021-01-30,0.63,-0.59,-0.03
63,2021-02-07,0.23,-0.24,0.02
64,2021-02-12,-0.64,0.67,-0.03
65,2021-02-19,1.26,-1.3,0.03
66,2021-03-11,1.98,-1.99,0.01
67,2021-03-31,-3.31,2.91,0.4
68,2021-04-01,0.0,0.44,-0.44
69,2021-05-19,1.38,-1.35,-0.02
70,2021-09-01,-0.41,0.39,0.02
71,2021-09-10,0.19,-0.24,0.05
72,2021-09-17,1.98,-1.94,-0.03
73,2021-09-24,-4.05,3.73,0.32
74,2021-10-15,4.38,-4.06,-0.31
75,2021-11-06,23.4,-23.43,0.03
76,2022-02-14,-24.86,24.9,-0.04
77,2022-02-17,1.18,-1.18,0.0
78,2022-03-11,-2.68,2.72,-0.04
79,2022-04-08,3.15,-3.2,0.05
80,2022-08-19,-2.21,1.88,0.33
81,2022-08-27,-1.41,1.42,-0.0
82,2022-10-06,1.92,-1.59,-0.33
83,2022-10-22,1.87,-1.82,-0.05
84,2023-02-17,-3.83,3.76,0.07
85,2023-03-14,1.77,-1.77,0.0
86,2023-03-15,-1.2,1.21,-0.0
87,2023-03-19,2.84,-2.85,0.0
88,2023-03-22,-4.03,3.65,0.38
89,2023-03-29,10.5,-10.12,-0.38
90,2023-03-30,-9.25,9.28,-0.03
91,2023-04-03,0.16,-0.19,0.02
92,2023-08-05,-0.52,0.57,-0.04
93,2023-08-21,0.92,-0.96,0.05
94,2023-08-28,2.33,-2.34,0.0
95,2023-08-30,-2.43,2.49,-0.06
96,2023-08-31,1.32,-1.36,0.04
97,2023-10-01,-2.6,2.61,-0.0
98,2023-11-09,0.06,-0.06,0.0
99,2023-11-10,0.92,-0.93,0.01
100,2024-02-04,2.6,-2.58,-0.02
101,2024-02-07,-2.6,2.58,0.02
102,2024-02-14,-0.44,0.43,0.01
103,2024-02-27,3.62,-3.59,-0.03
104,2024-03-08,23.31,-23.32,0.01
105,2024-03-09,-26.8,26.83,-0.03
106,2024-03-18,0.25,-0.26,0.01
107,2024-03-20,2.43,-2.45,0.01
108,2024-03-30,-1.22,1.2,0.01
109,2024-04-01,-1.46,1.5,-0.04
110,2024-04-02,0.81,-0.8,-0.01
111,2024-07-30,-0.13,0.13,-0.0
112,2024-09-01,-0.18,0.18,0.0
113,2024-09-04,-0.95,0.9,0.04
114,2024-09-08,3.85,-3.82,-0.02
115,2024-09-24,0.42,-0.47,0.04
116,2024-09-25,1.61,-1.58,-0.03
117,2024-10-11,-5.78,5.78,-0.0
118,2024-10-14,1.49,-1.51,0.02
119,2024-12-10,4.68,-4.67,-0.0
120,2025-01-12,-6.29,6.28,0.0
121,2025-02-11,0.08,-0.07,-0.01
122,2025-02-23,0.92,-0.92,0.0
123,2025-02-24,-0.26,0.27,-0.0
124,2025-03-05,0.12,-0.15,0.03
125,2025-03-08,1.7,-1.68,-0.01
126,2025-03-13,-1.89,1.89,-0.0
127,2025-03-19,-0.58,0.62,-0.04
128,2025-03-20,0.41,-0.46,0.04
129,2025-03-27,1.22,-1.2,-0.02
130,2025-04-04,-1.67,1.7,-0.03
131,2025-04-05,0.68,-0.7,0.01
132,2025-04-09,4.32,-4.39,0.07
133,2025-05-02,-5.32,5.34,-0.02
134,2025-05-09,0.85,-0.85,0.0
135,2025-05-14,-0.64,0.71,-0.07
136,2025-08-20,2.26,-2.33,0.07
