Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-11-21,-0.75,-15.04,-0.56,-11.1,-22.4,-18.16,33.16,465.28,365.32
,LE07,1999-12-07,-0.65,-12.98,-0.54,-10.82,-17.68,-13.68,33.4,460.56,369.8
,LE07,2000-04-13,-0.32,-6.46,-0.44,-8.9,-6.24,-11.44,42.6,449.12,372.04
,LE07,2000-09-20,-0.22,-4.4,-0.47,-9.46,-4.88,-12.04,44.56,447.76,371.44
,LE07,2001-01-10,-0.64,-12.86,-0.52,-10.42,-12.76,-12.68,37.32,455.64,370.8
,LE07,2001-01-26,-0.59,-11.84,-0.52,-10.42,-10.52,-13.96,40.84,453.4,369.52
,LE07,2001-03-15,-0.03,-0.56,-0.52,-10.42,3.48,-13.88,54.76,439.4,369.6
,LE07,2001-03-31,0.02,0.46,-0.49,-9.86,4.8,-12.64,54.84,438.08,370.84
,LE07,2001-09-07,-0.33,-6.66,-0.43,-8.64,-1.88,-13.92,49.44,444.76,369.56
,LE07,2001-09-23,0.19,3.88,-0.48,-9.58,5.88,-15.16,58.44,437.0,368.32
,LE07,2002-02-14,-0.79,-15.86,-0.57,-11.36,-16.4,-36.64,57.64,459.28,346.84
,LE07,2002-04-03,0.21,4.28,-0.53,-10.68,6.56,-24.48,68.44,436.32,359.0
,LE07,2002-10-12,-0.51,-10.18,-0.66,-13.28,-7.48,-16.52,46.44,450.36,366.96
,LE07,2003-02-01,-0.96,-19.28,-0.6,-11.92,-29.8,-16.6,24.2,472.68,366.88
,LT05,2004-01-27,-0.24,-4.9,-0.69,-13.84,0.44,-33.56,71.4,442.44,349.92
,LT05,2004-12-12,-0.91,-18.14,-0.62,-12.32,-26.52,-16.16,27.04,469.4,367.32
,LT05,2005-02-14,-0.34,-6.88,-0.73,-14.52,-3.8,-18.08,51.68,446.68,365.4
,LT05,2005-03-02,-0.4,-7.9,-0.68,-13.7,-6.2,-10.92,42.12,449.08,372.56
,LT05,2005-09-10,-0.38,-7.6,-7.83,-156.6,-8.52,-281.08,309.96,451.4,102.4
,LT05,2006-10-31,-0.52,-10.5,-0.88,-17.68,-10.84,-261.32,287.88,453.72,122.16
,LT05,2007-02-04,-0.88,-17.52,-0.68,-13.7,-21.52,-30.4,46.28,464.4,353.08
,LT05,2010-01-27,-0.24,-4.9,-0.45,-9.04,-1.92,-18.16,53.64,444.8,365.32
