Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LC08,2014-05-05,0.29,5.76,0.23,4.54,3.16,-27.76,78.88,894.0,1657.84
,LC08,2014-10-12,0.38,7.5,0.32,6.4,6.16,-12.4,66.52,891.0,1673.2
,LC08,2016-02-13,0.49,9.88,0.17,3.4,7.92,-42.32,98.2,889.08,1643.28
,LC08,2016-09-08,0.35,6.92,-0.56,-11.24,14.32,-143.4,205.68,882.8,1542.2
,LC08,2017-02-15,0.52,10.32,0.3,6.08,8.16,-31.84,87.96,888.88,1653.76
,LC08,2018-01-01,0.42,8.48,0.04,0.82,7.2,-75.36,130.52,889.76,1610.24
,S2,2018-12-13,0.34,6.82,0.2,4.02,21.88,-15.96,85.8,875.28,1669.64
,S2,2019-02-06,0.2,4.02,0.05,1.04,29.04,1.24,75.76,868.12,1686.84
,S2,2019-03-03,0.27,5.38,0.43,8.66,17.68,4.4,61.24,879.48,1690.0
,S2,2019-04-02,0.09,1.88,0.49,9.8,16.32,4.84,59.44,880.84,1690.44
,S2,2019-04-07,0.35,6.92,0.25,4.94,26.96,3.24,71.68,870.2,1688.84
,S2,2019-04-12,0.09,1.8,0.48,9.58,21.64,4.76,64.84,875.52,1690.36
,LC08,2019-09-08,-0.15,-3.06,0.22,4.32,0.48,-51.08,99.52,896.68,1634.52
,S2,2019-09-14,0.01,0.24,0.22,4.44,136.84,3.0,181.8,760.32,1688.6
,S2,2019-10-14,0.38,7.5,0.3,6.08,40.92,-10.8,99.68,856.24,1674.8
,S2,2019-11-23,-0.68,-13.7,0.23,4.54,1.8,-0.96,50.72,895.36,1684.64
,S2,2020-01-27,0.41,8.18,0.37,7.32,33.44,0.12,81.28,863.72,1685.72
,S2,2020-10-08,0.3,6.06,0.21,4.22,142.8,2.28,188.48,754.36,1687.88
,S2,2020-10-23,0.1,1.98,0.5,10.0,12.88,4.6,56.24,884.28,1690.2
,S2,2020-11-12,0.05,0.92,0.55,11.04,13.72,1.96,59.72,883.44,1687.56
,S2,2020-12-07,0.08,1.5,0.5,9.9,12.28,4.8,55.44,884.88,1690.4
,S2,2020-12-27,0.45,8.96,0.43,8.56,38.48,-8.28,94.72,858.68,1677.32
,S2,2021-02-20,0.34,6.74,0.43,8.66,97.92,4.16,141.72,799.24,1689.76
,S2,2021-03-02,0.48,9.64,0.5,9.9,17.6,4.72,60.84,879.56,1690.32
,S2,2021-03-12,0.4,7.9,0.43,8.66,40.92,1.0,87.88,856.24,1686.6
,S2,2021-05-11,0.3,5.96,0.58,11.54,17.24,6.12,59.08,879.92,1691.72
,S2,2021-12-12,-0.22,-4.5,0.46,9.28,13.08,1.36,59.68,884.08,1686.96
,LC08,2022-03-01,0.43,8.58,0.31,6.28,8.56,2.96,53.56,888.6,1688.56
,LC09,2022-12-06,-0.02,-0.34,-0.03,-0.62,2.48,-429.96,480.4,894.68,1255.64
,S2,2022-12-27,0.54,10.8,-0.06,-1.24,125.24,-404.4,577.6,771.92,1281.2
,LC08,2022-12-30,0.03,0.62,0.08,1.54,3.24,-416.88,468.08,893.92,1268.72
,S2,2023-02-10,0.48,9.64,-0.13,-2.58,33.84,-401.92,483.72,863.32,1283.68
,LC09,2023-03-28,-0.03,-0.54,-0.04,-0.82,2.12,-329.0,379.08,895.04,1356.6
,LC09,2023-04-13,0.14,2.86,0.06,1.14,4.2,-345.24,397.4,892.8,1340.36
,LC09,2023-05-31,0.12,2.34,0.27,5.46,2.96,-332.36,383.28,894.08,1353.24
,S2,2023-08-29,-0.1,-1.98,0.43,8.66,82.92,-19.16,150.04,814.24,1666.44
,LC08,2023-10-30,0.52,10.5,0.54,10.72,7.44,-105.24,160.64,889.72,1580.36
,S2,2023-12-27,0.37,7.32,0.57,11.34,17.52,-61.56,127.04,879.64,1624.04
,S2,2024-10-17,0.41,8.18,-0.32,-6.5,88.64,-244.24,380.84,808.52,1441.36
,LC08,2024-12-10,0.06,1.3,0.19,3.72,0.8,-142.4,191.16,896.36,1543.2
,S2,2024-12-16,0.48,9.54,0.31,6.18,22.52,-100.8,171.28,874.64,1584.8
,S2,2025-01-15,0.59,11.86,0.52,10.3,33.04,-87.32,168.32,864.12,1598.28
,S2,2025-02-24,-0.06,-1.22,0.14,2.88,34.2,-62.72,144.88,862.96,1622.88
,S2,2025-04-10,0.26,5.18,0.54,10.82,60.0,5.16,102.8,837.16,1690.76
