Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
,LC08,2020-11-15,0.62,12.4,-0.18,-3.6,10.72,-16.6,92.2,987.92,321.96
,S2,2020-12-09,-0.61,-12.28,-0.38,-7.66,-13.08,-40.88,92.68,1011.72,297.68
,S2,2020-12-14,0.35,6.96,-0.4,-8.04,4.84,-76.88,146.6,993.8,261.68
,S2,2021-01-03,0.38,7.5,-0.27,-5.38,5.2,-34.28,104.36,993.44,304.28
,S2,2021-01-08,-0.22,-4.5,-0.28,-5.7,-2.88,-22.32,84.32,1001.52,316.24
,S2,2021-01-28,-0.02,-0.34,-0.55,-11.02,0.08,-68.0,132.96,998.56,270.56
,LC08,2021-03-07,-0.87,-17.36,-0.4,-7.92,-27.6,-103.16,140.44,1026.24,235.4
,S2,2021-04-03,-0.48,-9.52,-0.33,-6.64,-11.24,-97.24,150.88,1009.88,241.32
,S2,2021-04-18,-0.35,-6.96,-0.38,-7.54,-8.64,-110.44,166.68,1007.28,228.12
,LC08,2021-08-30,-0.89,-17.8,-0.48,-9.5,-28.04,-60.36,97.2,1026.68,278.2
,S2,2021-08-31,-0.43,-8.66,-0.54,-10.76,-8.24,-61.6,118.24,1006.88,276.96
,LC08,2021-10-17,0.07,1.32,-0.3,-6.08,-1.16,-31.08,94.8,999.8,307.48
,S2,2021-10-30,0.02,0.46,-0.29,-5.88,0.6,-23.96,89.44,998.04,314.6
,S2,2021-11-04,0.86,17.3,-0.16,-3.16,12.92,-16.24,94.04,985.72,322.32
,S2,2021-11-14,-0.33,-6.52,-0.27,-5.32,-6.8,-21.76,79.84,1005.44,316.8
,LC08,2021-12-20,0.16,3.28,-0.22,-4.44,0.36,9.56,55.68,998.28,348.12
,S2,2022-01-13,-0.14,-2.84,-0.37,-7.4,-3.76,-61.36,122.48,1002.4,277.2
,LC08,2022-04-27,-7.41,-148.14,-0.15,-2.92,-33.36,-76.36,107.88,1032.0,262.2
,LC09,2022-05-05,0.0,0.1,-0.1,-1.96,-2.84,-64.72,126.76,1001.48,273.84
,LC09,2022-06-06,-0.56,-11.18,-0.17,-3.48,-15.64,-52.04,101.28,1014.28,286.52
,LC08,2022-08-01,0.08,1.56,-0.21,-4.24,-1.08,-62.12,125.92,999.72,276.44
,S2,2022-10-10,0.67,13.38,-0.22,-4.36,9.12,-45.28,119.28,989.52,293.28
,LC08,2022-10-20,-0.9,-18.04,-0.13,-2.66,-28.24,-30.68,67.32,1026.88,307.88
,S2,2023-01-08,0.82,16.32,0.07,1.4,11.48,-33.88,110.24,987.16,304.68
,S2,2023-02-02,0.22,4.44,-0.31,-6.14,3.2,-108.4,176.48,995.44,230.16
,S2,2023-02-17,-0.2,-3.96,-0.3,-6.02,-2.68,-115.4,177.6,1001.32,223.16
,LC08,2023-02-25,-0.35,-7.02,-0.29,-5.88,-10.76,-98.88,153.0,1009.4,239.68
,LC08,2023-03-13,-0.4,-8.0,-0.2,-3.92,-13.36,-55.12,106.64,1012.0,283.44
,LC09,2023-04-22,0.48,9.58,-0.3,-5.94,7.32,-71.28,143.48,991.32,267.28
,LC08,2023-08-20,-0.22,-4.32,-0.24,-4.82,-7.0,-33.68,91.56,1005.64,304.88
,S2,2023-09-25,-0.52,-10.38,-0.3,-6.02,-11.0,-39.16,93.04,1009.64,299.4
,S2,2023-10-10,-0.77,-15.46,-0.27,-5.38,-21.36,-25.2,68.72,1020.0,313.36
,S2,2023-10-15,0.69,13.76,-0.33,-6.64,9.4,-29.44,103.72,989.24,309.12
