,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,1999-08-26,0.0,0.0,-20.73,-17.94
1,2000-01-26,9.5,-1.24,-11.23,-19.18
2,2000-03-14,24.05,-1.64,3.32,-19.58
3,2000-07-11,19.88,-5.72,-0.85,-23.66
4,2001-01-28,15.7,-10.94,-5.03,-28.88
5,2001-10-02,28.25,0.42,7.52,-17.52
6,2001-12-30,28.43,-1.64,7.7,-19.58
7,2002-02-23,9.24,-1.24,-11.49,-19.18
8,2002-08-02,7.06,-1.44,-13.67,-19.38
9,2002-08-27,2.52,-0.42,-18.21,-18.36
10,2002-11-06,25.55,0.62,4.82,-17.32
11,2003-04-08,-55.94,-1.44,-76.67,-19.38
12,2003-04-24,-54.48,-1.24,-75.21,-19.18
13,2004-02-05,27.83,-1.44,7.1,-19.38
14,2004-04-25,30.35,-0.42,9.62,-18.36
15,2004-05-27,6.88,-15.74,-13.85,-33.68
16,2004-08-08,7.48,-1.64,-13.25,-19.58
17,2005-03-27,24.8,0.0,4.07,-17.94
18,2005-04-21,29.92,-8.16,9.19,-26.1
19,2005-10-05,20.93,4.12,0.2,-13.82
20,2006-02-26,28.85,-1.64,8.12,-19.58
21,2006-10-08,27.26,21.66,6.53,3.72
22,2006-10-24,18.42,6.8,-2.31,-11.14
23,2008-02-16,-60.3,-1.64,-81.03,-19.58
24,2008-11-14,31.11,7.22,10.38,-10.72
25,2008-12-25,25.56,1.44,4.83,-16.5
26,2009-01-01,-55.08,0.42,-75.81,-17.52
27,2009-01-10,24.58,-1.64,3.85,-19.58
28,2010-10-19,-1.78,2.88,-22.51,-15.06
29,2010-11-20,18.51,0.2,-2.22,-17.74
30,2011-01-23,35.76,-5.88,15.03,-23.82
31,2011-03-28,2.53,-1.44,-18.2,-19.38
32,2011-09-13,-4.02,1.66,-24.75,-16.28
33,2013-08-08,27.14,16.7,6.41,-1.24
34,2013-10-11,37.36,20.0,16.63,2.06
35,2013-10-27,8.63,18.98,-12.1,1.04
36,2013-12-30,22.99,9.08,2.26,-8.86
