,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
118,2023-09-17,8.31,0.0,-3.82,-60.0
119,2023-09-27,5.3,0.0,-6.83,-60.0
120,2023-10-09,12.57,58.28,0.44,-1.72
121,2023-10-12,5.0,0.0,-7.13,-60.0
122,2023-10-14,29.74,60.4,17.61,0.4
123,2023-11-11,20.27,0.0,8.14,-60.0
124,2023-11-26,5.17,52.46,-6.96,-7.54
125,2023-12-13,13.0,55.9,0.87,-4.1
126,2024-01-07,16.42,56.16,4.29,-3.84
127,2024-02-04,15.33,0.0,3.2,-60.0
128,2024-02-06,13.65,55.9,1.52,-4.1
129,2024-02-16,21.44,56.16,9.31,-3.84
130,2024-03-10,28.5,55.9,16.37,-4.1
131,2024-03-26,15.56,0.0,3.43,-60.0
132,2024-04-03,4.71,0.0,-7.42,-60.0
133,2024-04-09,9.01,0.0,-3.12,-60.0
134,2024-04-16,17.35,56.16,5.22,-3.84
135,2024-04-27,13.3,0.0,1.17,-60.0
136,2024-05-05,6.02,0.0,-6.11,-60.0
137,2024-07-24,-73.77,55.36,-85.9,-4.64
138,2024-09-01,15.7,56.68,3.57,-3.32
139,2024-09-06,11.8,52.98,-0.33,-7.02
140,2024-09-08,16.07,58.28,3.94,-1.72
141,2024-09-11,14.39,51.92,2.26,-8.08
142,2024-09-21,12.32,52.46,0.19,-7.54
143,2024-09-23,17.14,56.16,5.01,-3.84
144,2024-09-28,19.51,55.9,7.38,-4.1
145,2024-10-23,12.88,56.16,0.75,-3.84
146,2024-12-22,5.14,57.22,-6.99,-2.78
147,2025-01-29,19.3,0.0,7.17,-60.0
148,2025-02-08,2.94,0.0,-9.19,-60.0
149,2025-02-20,4.0,0.0,-8.13,-60.0
150,2025-02-28,30.87,0.0,18.74,-60.0
151,2025-03-02,13.45,0.0,1.32,-60.0
152,2025-03-10,12.5,0.0,0.37,-60.0
153,2025-03-15,14.2,0.0,2.07,-60.0
154,2025-03-21,5.25,0.0,-6.88,-60.0
155,2025-03-22,6.47,55.1,-5.66,-4.9
156,2025-04-04,4.36,0.0,-7.77,-60.0
157,2025-04-06,-2.36,0.0,-14.49,-60.0
158,2025-04-09,12.24,0.0,0.11,-60.0
