,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,1999-10-13,0.0,0.0,-13.59,-3.28
1,2000-04-13,10.73,0.12,-2.86,-3.16
2,2000-08-19,10.11,-0.28,-3.48,-3.56
3,2000-09-20,9.13,-0.4,-4.46,-3.68
4,2001-03-31,4.49,-0.66,-9.1,-3.94
5,2001-12-21,1.95,0.12,-11.64,-3.16
6,2002-02-14,-9.46,1.44,-23.05,-1.84
7,2003-11-17,16.07,0.12,2.48,-3.16
8,2005-03-18,10.01,0.52,-3.58,-2.76
9,2005-04-12,10.73,0.52,-2.86,-2.76
10,2005-05-14,13.51,-0.4,-0.08,-3.68
11,2005-11-06,4.14,0.38,-9.45,-2.9
12,2006-02-17,9.48,0.26,-4.11,-3.02
13,2006-10-31,22.9,2.1,9.31,-1.18
14,2011-01-23,7.41,-1.32,-6.18,-4.6
15,2011-03-12,14.24,-0.8,0.65,-4.08
16,2013-09-16,22.08,5.92,8.49,2.64
17,2013-10-18,16.85,5.78,3.26,2.5
18,2013-11-12,34.09,8.14,20.5,4.86
19,2013-11-19,9.15,7.22,-4.44,3.94
20,2014-03-04,14.95,7.76,1.36,4.48
21,2014-08-27,20.6,4.72,7.01,1.44
22,2014-09-28,23.74,6.3,10.15,3.02
23,2014-11-06,19.54,8.54,5.95,5.26
24,2014-12-01,34.69,8.14,21.1,4.86
25,2015-02-26,25.32,5.78,11.73,2.5
26,2015-03-14,27.02,4.2,13.43,0.92
27,2015-08-14,12.97,1.44,-0.62,-1.84
28,2015-09-06,15.46,2.1,1.87,-1.18
29,2015-10-17,12.65,2.5,-0.94,-0.78
30,2016-03-16,27.01,3.14,13.42,-0.14
31,2016-03-25,7.32,12.36,-6.27,9.08
32,2016-09-08,21.66,1.96,8.07,-1.32
33,2016-12-22,26.9,3.54,13.31,0.26
34,2017-01-23,28.5,3.54,14.91,0.26
35,2017-02-15,18.48,2.5,4.89,-0.78
36,2017-03-28,18.16,2.88,4.57,-0.4
37,2018-02-02,11.44,1.3,-2.15,-1.98
38,2018-03-06,12.27,0.26,-1.32,-3.02
39,2018-09-07,23.3,1.7,9.71,-1.58
40,2018-09-14,21.52,-0.66,7.93,-3.94
41,2018-11-01,27.38,1.18,13.79,-2.1
42,2018-11-10,20.92,2.76,7.33,-0.52
43,2018-11-26,20.06,1.56,6.47,-1.72
44,2018-12-15,33.79,-6.72,20.2,-10.0
45,2018-12-25,13.03,-6.98,-0.56,-10.26
46,2019-01-07,3.32,-10.54,-10.27,-13.82
47,2019-01-14,29.88,-3.3,16.29,-6.58
48,2019-02-01,29.25,-1.86,15.66,-5.14
49,2019-02-13,35.96,-1.98,22.37,-5.26
50,2019-02-28,35.17,-2.5,21.58,-5.78
