Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LT05,2004-11-19,0.79,15.86,,,12.92,0.0,62.0,280.28,0.0
,LT05,2006-10-24,-0.03,-0.54,,,118.0,0.0,167.08,175.2,0.0
,LT05,2007-02-13,0.48,9.54,,,5.44,0.0,54.52,287.76,0.0
,LT05,2011-01-07,-0.57,-11.5,,,-7.44,4.6,37.04,300.64,4.6
,LT05,2011-04-13,0.29,5.88,,,2.76,0.0,51.84,290.44,0.0
,LC08,2013-11-28,0.29,5.78,,,3.84,0.0,52.92,289.36,0.0
,LC08,2013-12-30,-0.84,-16.84,,,-11.32,0.0,37.76,304.52,0.0
,LC08,2014-04-21,0.51,10.12,,,5.6,0.0,54.68,287.6,0.0
,LC08,2014-05-07,0.31,6.28,,,3.92,0.0,53.0,289.28,0.0
,LC08,2014-11-15,0.37,7.46,,,5.52,0.0,54.6,287.68,0.0
,LC08,2014-12-01,0.26,5.18,,,4.0,0.0,53.08,289.2,0.0
,LC08,2015-11-02,0.51,10.12,,,7.16,0.0,56.24,286.04,0.0
,LC08,2015-12-20,0.72,14.46,,,13.32,0.0,62.4,279.88,0.0
,LC08,2016-01-21,-0.6,-12.1,,,-7.56,0.0,41.52,300.76,0.0
,LC08,2016-10-19,-0.96,-19.3,,,-17.04,4.36,27.68,310.24,4.36
,LC08,2018-02-11,-0.24,-4.88,,,-3.12,0.0,45.96,296.32,0.0
,LC08,2018-12-28,0.79,15.86,,,16.32,0.0,65.4,276.88,0.0
,S2,2019-02-11,0.67,13.38,,,7.0,0.0,56.08,286.2,0.0
,S2,2019-02-13,0.97,19.4,,,18.56,0.0,67.64,274.64,0.0
,LC08,2019-02-14,0.64,12.88,,,7.48,0.0,56.56,285.72,0.0
,S2,2019-02-18,-3.75,-74.94,,,-15.64,0.0,33.44,308.84,0.0
,S2,2019-02-26,0.71,14.26,,,19.92,0.0,69.0,273.28,0.0
,LC08,2019-03-02,0.18,3.6,,,1.68,0.0,50.76,291.52,0.0
,S2,2019-03-23,-0.89,-17.82,,,-9.12,0.0,39.96,302.32,0.0
,S2,2019-03-25,0.9,18.02,,,11.32,0.0,60.4,281.88,0.0
,S2,2019-04-09,-0.17,-3.4,,,-1.52,0.0,47.56,294.72,0.0
,S2,2019-04-17,-0.33,-6.56,,,-2.72,0.0,46.36,295.92,0.0
,S2,2019-04-19,-0.98,-19.5,,,-12.12,0.0,36.96,305.32,0.0
,S2,2019-05-04,-0.87,-17.44,,,-8.68,0.0,40.4,301.88,0.0
,S2,2019-05-24,0.96,19.2,,,12.16,0.0,61.24,281.04,0.0
,S2,2019-09-16,-3.54,-70.74,,,-13.48,0.0,35.6,306.68,0.0
,S2,2019-10-26,-0.91,-18.12,,,-10.16,0.0,38.92,303.36,0.0
,S2,2019-11-03,0.78,15.56,,,9.44,0.0,58.52,283.76,0.0
,S2,2019-11-05,0.98,19.5,,,18.12,0.0,67.2,275.08,0.0
,LC08,2019-11-13,-5.16,-103.16,,,-21.64,4.32,23.12,314.84,4.32
,LC08,2019-12-31,0.28,5.68,,,3.08,0.0,52.16,290.12,0.0
,S2,2020-01-17,0.96,19.2,,,18.12,0.0,67.2,275.08,0.0
,S2,2020-01-24,-0.79,-15.86,,,-8.2,0.0,40.88,301.4,0.0
,S2,2020-02-11,-3.89,-77.82,,,-17.12,31.64,0.32,310.32,31.64
,S2,2020-04-06,-0.71,-14.18,,,-7.2,0.0,41.88,300.4,0.0
,S2,2020-05-21,-0.54,-10.82,,,-5.0,0.0,44.08,298.2,0.0
,S2,2020-08-19,-3.9,-77.9,,,-17.16,0.0,31.92,310.36,0.0
,LC08,2020-08-27,0.67,13.38,,,9.84,0.0,58.92,283.36,0.0
,S2,2020-09-03,-3.59,-71.76,,,-14.0,0.0,35.08,307.2,0.0
,S2,2020-09-25,0.91,18.22,,,17.08,0.0,66.16,276.12,0.0
,S2,2020-10-03,-0.63,-12.6,,,-6.56,0.0,42.52,299.76,0.0
,LC08,2020-10-14,-0.72,-14.46,,,-8.84,0.0,40.24,302.04,0.0
,S2,2020-11-14,-0.9,-18.02,,,-10.68,38.4,0.0,303.88,38.4
,S2,2020-11-19,0.32,6.46,,,3.4,0.0,52.48,289.8,0.0
,LC08,2020-12-01,-0.95,-18.92,,,-15.92,5.12,28.04,309.12,5.12
,S2,2020-12-19,0.9,17.92,,,13.28,0.0,62.36,279.92,0.0
,S2,2021-01-13,-0.93,-18.62,,,-11.8,0.0,37.28,305.0,0.0
,S2,2021-01-31,-0.64,-12.88,,,-6.72,0.0,42.36,299.92,0.0
,S2,2021-02-02,0.59,11.8,,,6.04,0.0,55.12,287.16,0.0
,LC08,2021-02-03,0.83,16.54,,,13.08,0.0,62.16,280.12,0.0
,LC08,2021-02-19,0.96,19.2,,,18.6,0.0,67.68,274.6,0.0
,S2,2021-03-19,0.93,18.52,,,12.0,0.0,61.08,281.2,0.0
,S2,2021-03-24,0.68,13.66,,,24.84,0.0,73.92,268.36,0.0
,LC08,2021-04-24,-0.96,-19.2,,,-17.64,0.0,31.44,310.84,0.0
