,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,1999-09-06,0.0,0.0,-5.19,-19.5
1,2000-02-13,-19.47,20.38,-24.66,0.88
2,2000-04-01,-3.14,9.06,-8.33,-10.44
3,2001-04-04,-10.44,6.3,-15.63,-13.2
4,2001-10-13,-2.95,0.5,-8.14,-19.0
5,2001-10-29,7.91,0.5,2.72,-19.0
6,2002-01-17,17.22,14.1,12.03,-5.4
7,2002-04-07,-3.52,15.86,-8.71,-3.64
8,2002-11-01,-15.44,0.0,-20.63,-19.5
9,2003-02-21,-41.83,20.64,-47.02,1.14
10,2003-11-28,8.24,-93.98,3.05,-113.48
11,2004-04-04,-3.07,3.28,-8.26,-16.22
12,2005-08-29,-13.66,0.26,-18.85,-19.24
13,2006-03-09,-24.04,8.06,-29.23,-11.44
14,2006-04-10,-24.36,11.58,-29.55,-7.92
15,2006-09-17,-18.7,1.26,-23.89,-18.24
16,2013-04-29,-2602.64,24.4,-2607.83,4.9
17,2014-09-07,-7.67,16.86,-12.86,-2.64
18,2014-10-25,5.28,18.12,0.09,-1.38
19,2015-04-03,-5.2,21.88,-10.39,2.38
20,2015-04-19,-9.38,24.66,-14.57,5.16
21,2015-10-28,11.28,15.6,6.09,-3.9
22,2016-08-27,5.15,12.84,-0.04,-6.66
23,2016-09-12,4.34,12.84,-0.85,-6.66
24,2016-12-17,20.21,20.88,15.02,1.38
25,2017-08-14,9.08,26.16,3.89,6.66
26,2017-08-30,-3.19,24.16,-8.38,4.66
27,2017-10-01,-7.11,19.88,-12.3,0.38
28,2018-06-14,9.41,19.38,4.22,-0.12
29,2019-01-03,4.06,11.82,-1.13,-7.68
30,2019-01-18,11.74,17.36,6.55,-2.14
31,2019-02-12,-4.73,20.88,-9.92,1.38
32,2019-02-17,10.97,18.12,5.78,-1.38
33,2019-03-04,13.91,19.62,8.72,0.12
34,2019-03-24,17.67,20.38,12.48,0.88
35,2019-05-03,4.98,25.16,-0.21,5.66
36,2019-08-26,10.64,13.84,5.45,-5.66
37,2019-08-31,12.57,20.88,7.38,1.38
38,2019-09-10,1.26,21.14,-3.93,1.64
39,2019-09-15,9.73,20.88,4.54,1.38
40,2019-10-20,9.2,18.88,4.01,-0.62
41,2019-12-04,6.57,10.32,1.38,-9.18
42,2020-01-11,22.14,16.86,16.95,-2.64
43,2020-02-27,10.83,22.4,5.64,2.9
44,2020-06-03,-12.16,24.4,-17.35,4.9
45,2020-08-30,0.56,13.58,-4.63,-5.92
46,2020-09-09,15.18,25.16,9.99,5.66
47,2020-10-04,18.96,17.86,13.77,-1.64
48,2020-11-13,2.31,23.14,-2.88,3.64
49,2020-12-03,14.35,22.64,9.16,3.14
50,2020-12-18,18.97,24.66,13.78,5.16
51,2021-01-22,-7.13,23.9,-12.32,4.4
52,2021-02-21,4.13,24.16,-1.06,4.66
53,2021-04-03,-0.56,24.9,-5.75,5.4
54,2021-09-19,4.36,17.62,-0.83,-1.88
55,2021-09-24,15.42,21.38,10.23,1.88
56,2021-10-29,4.5,18.88,-0.69,-0.62
57,2021-11-18,21.17,21.64,15.98,2.14
58,2021-12-08,17.78,16.36,12.59,-3.14
59,2021-12-18,14.06,17.86,8.87,-1.64
60,2022-01-22,14.48,23.14,9.29,3.64
61,2022-02-21,16.32,25.66,11.13,6.16
62,2022-08-04,16.83,29.44,11.64,9.94
63,2022-11-03,-12.15,20.64,-17.34,1.14
64,2022-12-03,-6.02,20.88,-11.21,1.38
65,2022-12-28,12.45,22.64,7.26,3.14
66,2023-02-06,10.36,24.9,5.17,5.4
67,2023-02-21,16.66,22.4,11.47,2.9
68,2023-03-23,17.54,26.66,12.35,7.16
69,2023-04-09,8.61,32.46,3.42,12.96
70,2023-04-12,8.28,31.96,3.09,12.46
71,2023-08-31,-9.03,29.68,-14.22,10.18
72,2023-09-19,12.98,23.66,7.79,4.16
73,2023-10-09,-13.43,23.66,-18.62,4.16
74,2023-10-19,15.06,22.14,9.87,2.64
75,2023-11-03,4.02,23.4,-1.17,3.9
76,2023-12-08,-14.26,16.86,-19.45,-2.64
77,2024-01-07,-0.25,17.12,-5.44,-2.38
78,2024-01-12,13.64,17.86,8.45,-1.64
79,2024-02-06,-9.4,16.6,-14.59,-2.9
80,2024-02-11,18.33,20.64,13.14,1.14
81,2024-02-15,0.08,23.9,-5.11,4.4
82,2024-02-23,2.88,23.14,-2.31,3.64
83,2024-03-07,-6.64,16.1,-11.83,-3.4
84,2024-06-14,-7.02,29.68,-12.21,10.18
85,2024-10-23,1.24,18.62,-3.95,-0.88
86,2024-10-28,1.52,16.6,-3.67,-2.9
