,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
140,2022-10-21,-2.44,0.06,2.37
141,2022-10-22,2.9,-0.38,-2.52
142,2022-11-07,-5.56,1.52,4.04
143,2022-11-14,3.44,-2.02,-1.42
144,2022-11-15,0.24,-0.2,-0.04
145,2022-11-21,-0.63,1.91,-1.28
146,2022-11-22,-4.7,1.29,3.41
147,2022-11-30,3.59,-2.64,-0.94
148,2022-12-01,4.87,-0.77,-4.1
149,2022-12-26,-0.43,1.07,-0.64
150,2023-01-15,5.02,-3.4,-1.63
151,2023-03-06,-11.11,4.31,6.79
152,2023-03-14,2.12,-2.3,0.18
153,2023-03-22,-3.3,3.04,0.26
154,2023-04-16,7.83,-1.58,-6.25
155,2023-08-22,1.66,-1.19,-0.47
156,2023-08-23,1.05,-0.71,-0.34
157,2023-08-29,-2.71,2.47,0.24
158,2023-09-06,1.48,-1.59,0.11
159,2023-09-07,2.28,-1.4,-0.87
160,2023-10-22,0.64,-1.05,0.41
161,2023-10-27,-5.14,4.85,0.29
162,2023-11-10,-7.61,-1.48,9.09
163,2023-11-21,12.63,-3.37,-9.25
164,2023-12-01,-2.69,2.65,0.04
165,2023-12-12,-5.25,2.59,2.66
166,2023-12-31,5.35,-2.06,-3.29
167,2024-01-29,-1.44,-0.04,1.49
168,2024-01-30,4.35,-0.93,-3.42
169,2024-02-14,1.49,-1.95,0.46
170,2024-02-19,-3.18,2.44,0.74
171,2024-02-29,0.88,-0.6,-0.29
172,2024-03-05,-1.02,0.82,0.19
173,2024-03-09,-5.03,1.77,3.25
174,2024-03-16,3.56,-3.01,-0.55
175,2024-03-20,2.24,0.55,-2.79
176,2024-03-30,0.38,-0.09,-0.29
177,2024-04-09,-3.62,2.46,1.16
178,2024-04-29,2.28,-3.64,1.36
179,2024-05-04,-1.83,1.61,0.22
180,2024-05-09,-1.35,1.33,0.02
181,2024-05-19,-0.23,-0.48,0.71
182,2024-08-02,2.2,-0.69,-1.51
183,2024-09-01,-2.32,1.63,0.69
184,2024-09-09,-7.24,-1.25,8.49
185,2024-09-24,0.42,-0.44,0.02
186,2024-10-10,1.4,-1.58,0.18
187,2024-10-16,-2.44,2.75,-0.31
188,2024-10-21,6.58,-1.63,-4.95
189,2024-10-26,-5.04,-0.14,5.18
190,2024-11-12,-0.82,0.64,0.17
191,2025-01-06,8.86,-2.15,-6.71
192,2025-01-09,0.8,0.37,-1.18
193,2025-01-15,-3.29,2.23,1.06
194,2025-01-19,4.34,-2.83,-1.51
195,2025-02-03,0.41,-0.33,-0.07
196,2025-02-07,-2.32,1.35,0.96
197,2025-02-13,-0.69,1.61,-0.92
198,2025-02-28,-1.43,1.02,0.41
199,2025-03-20,1.79,-2.7,0.9
200,2025-03-25,0.47,0.32,-0.79
201,2025-03-28,-3.69,2.34,1.34
202,2025-04-09,1.76,-0.82,-0.95
203,2025-04-12,-1.32,0.37,0.95
204,2025-04-24,1.44,-1.32,-0.12
