Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-09-27,-146.94,-2938.86,0.4,7.96,-15.0,-3.44,8.0,1273.2,51.64
,LE07,1999-12-16,-0.96,-19.26,0.56,11.26,-8.24,1.96,9.36,1266.44,57.04
,LE07,2000-03-21,-147.06,-2941.26,0.41,8.24,-15.52,-3.96,8.0,1273.72,51.12
,LE07,2000-11-16,-0.96,-19.26,0.54,10.82,-9.12,1.68,8.76,1267.32,56.76
,LE07,2002-01-22,-0.96,-19.26,0.31,6.24,-8.68,-0.56,11.44,1266.88,54.52
,LE07,2002-03-27,-146.34,-2926.8,0.47,9.4,-12.4,-3.0,10.16,1270.6,52.08
,LT05,2003-09-14,-145.47,-2909.36,0.36,7.1,-8.64,-3.84,14.76,1266.84,51.24
,LT05,2003-09-30,-0.96,-19.26,0.34,6.82,-9.12,-2.56,13.0,1267.32,52.52
,LT05,2003-10-16,-0.96,-19.26,0.25,4.94,-8.84,-1.76,12.48,1267.04,53.32
,LT05,2003-11-17,-0.96,-19.26,0.02,0.36,-8.24,-3.68,15.0,1266.44,51.4
,LT05,2003-12-03,-0.97,-19.44,0.38,7.68,-6.0,-3.28,16.84,1264.2,51.8
,LT05,2004-02-05,-145.47,-2909.36,0.57,11.4,-8.64,-1.6,12.52,1266.84,53.48
,LT05,2004-02-21,-146.81,-2936.26,0.53,10.68,-14.44,-2.4,7.52,1272.64,52.68
,LT05,2004-09-25,-146.19,-2923.84,0.5,9.96,-11.76,-2.08,9.88,1269.96,53.0
,LT05,2005-03-27,-146.24,-2924.76,0.75,14.98,-11.96,-2.76,10.36,1270.16,52.32
,LT05,2006-01-25,-0.97,-19.44,0.42,8.38,-11.28,-1.72,10.0,1269.48,53.36
,LT05,2006-09-22,-0.97,-19.44,0.61,12.12,-11.4,-2.32,10.48,1269.6,52.76
,LT05,2007-01-05,-146.32,-2926.44,0.65,12.98,-12.32,-1.84,9.08,1270.52,53.24
,LT05,2007-09-09,-146.55,-2931.06,0.81,16.28,-13.32,-2.28,8.52,1271.52,52.8
,LT05,2009-02-02,-0.97,-19.44,0.41,8.24,-11.08,-2.6,11.08,1269.28,52.48
,LT05,2010-02-05,-0.97,-19.44,0.51,10.26,-6.8,-1.28,14.04,1265.0,53.8
,LT05,2010-10-03,0.79,15.72,0.34,6.82,20.16,-26.4,66.12,1238.04,28.68
,LT05,2011-01-23,-146.26,-2925.14,0.58,11.68,-12.04,-1.68,9.2,1270.24,53.4
,LT05,2011-03-12,-0.97,-19.44,0.54,10.82,-11.28,-1.24,9.52,1269.48,53.84
,LT05,2011-03-28,-144.72,-2894.34,0.59,11.82,-5.4,-2.52,16.68,1263.6,52.56
,LC08,2013-11-28,0.13,2.52,-0.14,-2.8,7.8,-4.48,31.84,1249.84,50.6
,LC08,2014-02-16,-0.97,-19.44,0.54,10.82,-7.36,-1.44,13.64,1265.44,53.64
,LC08,2014-03-20,-0.97,-19.44,0.53,10.54,-5.12,-1.24,15.68,1262.96,53.84
,LC08,2014-04-05,0.27,5.48,0.6,11.98,7.4,3.12,23.84,1249.44,58.2
,LC08,2014-08-27,-0.97,-19.44,0.72,14.4,-7.6,1.36,10.6,1264.36,56.44
,LC08,2015-03-07,-0.97,-19.44,0.71,14.12,-7.48,1.28,10.8,1265.16,56.36
,LC08,2015-10-01,-0.97,-19.44,0.49,9.82,-4.88,-1.04,15.72,1262.88,54.04
,LC08,2015-12-04,0.31,6.24,-0.19,-3.8,16.6,-4.88,41.04,1241.6,50.2
,LC08,2016-01-05,-0.66,-13.12,-0.05,-0.94,0.24,-3.76,23.56,1257.88,51.32
,LC08,2016-02-06,-145.35,-2906.94,0.05,1.08,-8.08,-3.8,15.28,1266.08,51.28
,LC08,2016-04-10,-0.41,-8.16,0.54,10.82,-3.44,-0.48,16.6,1259.36,54.6
,LC08,2017-01-23,-0.44,-8.84,-0.14,-2.8,-1.36,-4.84,23.04,1259.36,50.24
,LC08,2017-02-08,-0.97,-19.44,0.48,9.68,-7.52,-1.52,13.56,1265.4,53.56
,LC08,2018-02-11,-0.64,-12.74,0.12,2.36,-4.32,-1.48,16.72,1261.84,53.6
,LC08,2018-05-18,-0.45,-8.92,0.64,12.84,0.04,-0.16,19.76,1257.0,54.92
,LC08,2018-09-07,-0.49,-9.72,0.23,4.66,-1.32,-2.52,20.76,1258.04,52.56
,LC08,2018-09-23,-0.97,-19.44,0.26,5.24,-5.52,-2.92,16.96,1263.36,52.16
,LC08,2018-11-10,-0.97,-19.44,-0.2,-3.94,-7.08,-5.24,17.72,1265.28,49.84
,S2,2019-01-04,-0.65,-12.94,0.11,2.22,-5.2,1.32,13.04,1263.4,56.4
,S2,2019-01-14,0.62,12.38,-0.43,-8.68,23.6,-4.84,48.0,1234.6,50.24
,S2,2019-01-19,-146.23,-2924.58,-0.2,-3.94,-11.92,-3.64,11.28,1270.12,51.44
,S2,2019-02-03,-0.64,-12.74,-0.05,-1.08,-8.56,-3.16,14.16,1266.76,51.92
,S2,2019-02-13,0.59,11.82,-0.28,-5.52,20.76,-4.24,44.56,1237.44,50.84
,S2,2019-02-18,-143.47,-2869.42,0.47,9.4,-4.24,-0.16,15.48,1262.44,54.92
,S2,2019-02-28,0.35,6.98,-0.28,-5.66,14.56,-3.96,38.08,1243.64,51.12
,S2,2019-03-05,-0.97,-19.44,-0.14,-2.8,-2.84,-3.52,20.24,1261.04,51.56
,S2,2019-03-30,0.51,10.14,-0.19,-3.8,16.32,-2.88,38.76,1241.88,52.2
,LC08,2019-05-05,-0.97,-19.44,0.56,11.26,-5.08,-0.52,15.0,1262.36,54.56
,S2,2019-08-12,-0.45,-9.02,0.12,2.5,8.48,-0.64,28.68,1249.72,54.44
,LC08,2019-08-25,-0.0,-0.1,0.2,4.08,6.04,-0.96,26.56,1252.08,54.12
,S2,2019-08-27,0.32,6.42,0.02,0.5,13.96,-1.04,34.56,1244.24,54.04
,S2,2019-09-01,-0.54,-10.88,0.13,2.66,5.28,-0.36,25.2,1252.92,54.72
,S2,2019-09-06,0.62,12.38,0.37,7.38,24.56,3.12,41.0,1233.64,58.2
,S2,2019-09-21,0.54,10.7,0.05,1.08,20.12,-1.08,40.76,1238.08,54.0
,S2,2019-10-21,0.65,12.94,0.1,1.94,27.24,-1.36,48.16,1230.96,53.72
,S2,2019-10-26,-0.69,-13.86,-0.05,-0.94,511.52,-2.68,533.76,746.68,52.4
,LC08,2019-11-13,-0.97,-19.44,0.28,5.66,-11.84,-3.08,10.8,1270.04,52.0
,S2,2019-12-05,0.33,6.6,-0.08,-1.64,14.88,-2.64,37.08,1243.32,52.44
,S2,2019-12-10,-143.54,-2870.9,0.06,1.22,-4.56,-1.36,16.36,1262.76,53.72
,LC08,2019-12-31,-0.07,-1.4,0.63,12.68,-4.04,1.68,13.84,1262.24,56.76
,LC08,2020-02-01,-0.06,-1.2,0.2,3.94,-3.4,-9.08,25.24,1261.6,46.0
,S2,2020-02-13,-0.39,-7.72,0.08,1.64,2.04,-1.36,22.96,1256.16,53.72
,S2,2020-02-18,0.63,12.56,-0.37,-7.38,26.8,-6.68,53.04,1231.4,48.4
,S2,2020-03-04,0.42,8.46,-0.02,-0.36,15.88,-1.76,37.2,1242.32,53.32
,S2,2020-03-09,-145.39,-2907.88,0.08,1.64,-8.32,-0.96,12.2,1266.52,54.12
,S2,2020-03-19,0.48,9.58,-0.27,-5.38,15.84,-2.68,38.08,1242.36,52.4
,S2,2020-03-29,0.51,10.14,-0.23,-4.52,17.4,-2.36,39.32,1240.8,52.72
,S2,2020-04-03,0.51,10.14,0.08,1.5,16.16,-1.12,36.84,1242.04,53.96
,S2,2020-04-08,-0.4,-8.1,0.59,11.82,6.28,4.16,21.68,1251.92,59.24
,S2,2020-04-13,0.56,11.26,0.05,0.94,23.12,-1.0,43.68,1235.08,54.08
,S2,2020-04-23,-0.49,-9.76,0.48,9.68,0.72,4.6,15.68,1257.48,59.68
,S2,2020-04-28,0.54,10.7,-0.2,-4.08,22.24,-2.12,43.92,1235.96,52.96
,LC08,2020-05-07,-0.97,-19.42,0.74,14.84,-5.16,1.12,13.28,1262.2,56.2
,S2,2020-08-11,0.49,9.76,0.04,0.78,19.4,-0.6,39.56,1238.8,54.48
,S2,2020-08-21,-145.3,-2906.04,0.15,2.94,-7.92,-0.36,12.0,1266.12,54.72
,S2,2020-09-15,-0.44,-8.84,0.17,3.36,5.64,-0.6,25.8,1252.56,54.48
,LC08,2020-10-14,-0.97,-19.44,0.41,8.24,-7.2,-2.36,14.72,1264.92,52.72
,S2,2020-10-15,-0.41,-8.28,0.18,3.66,2.68,-0.16,22.4,1255.52,54.92
,S2,2020-11-14,0.54,10.7,0.55,10.96,583.84,4.44,598.96,674.36,59.52
,S2,2020-11-19,-0.6,-12.0,0.04,0.78,0.6,-1.52,21.68,1257.6,53.56
,S2,2020-12-14,-0.97,-19.44,0.49,9.82,-8.0,0.2,11.36,1266.2,55.28
,S2,2021-01-03,0.4,7.9,0.05,0.94,12.56,-1.28,33.4,1245.64,53.8
,S2,2021-02-02,0.47,9.4,0.11,2.22,14.24,-0.76,34.56,1243.96,54.32
,S2,2021-02-07,0.17,3.44,0.04,0.78,6.84,-1.4,27.8,1251.36,53.68
,S2,2021-02-12,-142.93,-2858.54,0.51,10.26,-1.88,1.08,16.6,1260.08,56.16
,S2,2021-02-17,0.35,6.98,0.13,2.66,14.84,-0.64,35.04,1243.36,54.44
,S2,2021-03-04,0.42,8.46,-0.02,-0.36,19.68,-1.72,40.96,1238.52,53.36
,S2,2021-04-03,0.66,13.3,0.48,9.54,40.52,5.88,54.2,1217.68,60.96
,S2,2021-04-13,-0.97,-19.44,0.53,10.68,0.52,0.8,19.28,1257.68,55.88
,S2,2021-04-23,0.5,9.96,0.18,3.66,19.2,-0.28,39.04,1239.0,54.8
,S2,2021-08-06,-0.5,-9.96,0.48,9.54,9.96,3.32,26.2,1248.24,58.4
,LC08,2021-08-30,0.22,4.38,0.18,3.52,11.2,2.12,28.64,1246.6,57.2
,S2,2021-09-30,0.53,10.52,0.46,9.24,20.4,3.32,36.64,1237.8,58.4
,LC08,2021-10-01,0.18,3.62,-0.25,-4.94,6.92,-5.36,31.84,1250.96,49.72
,S2,2021-10-15,0.37,7.34,0.05,0.94,14.28,-1.04,34.88,1243.92,54.04
,LC08,2021-11-02,-145.4,-2908.06,-0.14,-2.8,-8.36,-5.44,16.64,1266.48,49.64
,S2,2021-11-14,0.12,2.32,0.13,2.66,3.24,-0.72,23.52,1254.96,54.36
,S2,2021-11-19,-145.31,-2906.22,0.48,9.68,-7.96,0.32,11.28,1266.16,55.4
,S2,2022-01-03,-0.97,-19.44,0.06,1.22,-11.6,-1.28,9.24,1269.8,53.8
,S2,2022-01-28,0.47,9.4,0.15,2.94,13.92,-0.6,34.08,1244.28,54.48
,S2,2022-02-17,-0.51,-10.14,0.48,9.54,3.96,4.12,19.4,1254.24,59.2
,LC08,2022-03-26,0.48,9.58,0.18,3.52,12.72,2.4,29.88,1245.12,57.48
,S2,2022-10-05,0.44,8.84,0.15,3.08,16.2,-0.48,36.24,1242.0,54.6
,S2,2022-10-15,0.46,9.2,0.46,9.1,14.6,3.36,30.8,1243.6,58.44
,S2,2022-11-14,0.5,9.96,0.49,9.82,15.4,3.56,31.4,1242.8,58.64
,S2,2022-12-04,-0.42,-8.46,0.46,9.1,1.36,3.08,17.84,1256.84,58.16
,LC09,2022-12-31,-0.86,-17.2,0.19,3.8,0.32,-3.12,23.0,1257.88,51.96
,S2,2023-01-08,-146.33,-2926.62,0.1,1.94,-12.36,-1.52,8.72,1270.56,53.56
,S2,2023-01-23,-0.97,-19.44,0.5,9.96,414.72,0.36,433.92,843.48,55.44
,LC08,2023-02-25,-0.02,-0.46,0.17,3.36,6.6,-0.84,27.0,1250.96,54.24
,LC08,2023-03-13,0.29,5.86,0.23,4.66,5.68,1.04,24.2,1252.32,56.12
,S2,2023-03-14,0.59,11.82,0.15,3.08,24.68,-0.16,44.4,1233.52,54.92
,S2,2023-03-19,-0.97,-19.44,0.48,9.54,-3.4,0.36,15.8,1261.6,55.44
,LC09,2023-03-21,-147.91,-2958.26,0.78,15.7,-10.64,0.6,8.32,1268.04,55.68
,S2,2023-03-29,0.45,9.02,0.13,2.66,18.04,-0.28,37.88,1240.16,54.8
,S2,2023-04-03,0.29,5.86,0.51,10.26,10.56,4.0,26.12,1247.64,59.08
