,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2000-02-09,0.0,0.0,-3.02,-9.32
1,2000-04-29,-5.25,0.92,-8.27,-8.4
2,2001-06-03,-6.84,1.3,-9.86,-8.02
3,2003-04-22,7.42,0.12,4.4,-9.2
4,2003-05-08,-1.42,1.66,-4.44,-7.66
5,2003-05-24,-5.04,-1.58,-8.06,-10.9
6,2004-07-14,-4.07,3.76,-7.09,-5.56
7,2005-04-03,-1.54,-10.24,-4.56,-19.56
8,2005-09-03,0.4,0.3,-2.62,-9.02
9,2006-07-27,-0.8,7.9,-3.82,-1.42
10,2006-09-29,0.7,7.66,-2.32,-1.66
11,2007-02-13,-1.09,0.4,-4.11,-8.92
12,2007-10-02,1.25,6.06,-1.77,-3.26
13,2010-10-26,1.33,3.94,-1.69,-5.38
14,2013-05-11,10.15,2.7,7.13,-6.62
15,2014-03-27,13.36,-0.98,10.34,-10.3
16,2014-04-12,6.14,-0.38,3.12,-9.7
17,2015-01-25,-9.01,16.9,-12.03,7.58
18,2015-02-26,5.54,-0.8,2.52,-10.12
19,2015-10-24,9.13,-1.88,6.11,-11.2
20,2015-12-27,9.58,21.82,6.56,12.5
21,2016-01-12,7.42,20.12,4.4,10.8
22,2016-10-10,7.18,3.46,4.16,-5.86
23,2017-03-03,12.69,-0.68,9.67,-10.0
24,2018-05-25,5.92,6.4,2.9,-2.92
25,2018-06-26,10.43,11.98,7.41,2.66
26,2018-07-12,13.41,11.98,10.39,2.66
27,2018-12-28,1.87,-8.88,-1.15,-18.2
28,2019-01-04,23.67,-9.08,20.65,-18.4
29,2019-02-05,24.82,-9.08,21.8,-18.4
30,2019-04-02,22.51,-9.32,19.49,-18.64
31,2019-05-22,20.4,-3.1,17.38,-12.42
32,2019-11-03,13.67,-2.4,10.65,-11.72
33,2019-11-04,9.38,-6.5,6.36,-15.82
34,2019-11-23,7.61,-9.52,4.59,-18.84
35,2019-12-18,-14.11,-9.62,-17.13,-18.94
36,2019-12-22,10.24,-3.14,7.22,-12.46
37,2020-02-01,14.26,-45.26,11.24,-54.58
38,2020-02-08,27.06,-7.18,24.04,-16.5
39,2020-02-24,26.39,-3.6,23.37,-12.92
40,2020-03-07,17.74,-44.82,14.72,-54.14
41,2020-03-17,8.53,-10.24,5.51,-19.56
42,2020-04-01,16.07,-10.18,13.05,-19.5
43,2020-04-06,13.15,-10.12,10.13,-19.44
44,2020-04-21,18.62,-2.5,15.6,-11.82
45,2020-07-01,1.81,7.26,-1.21,-2.06
46,2020-08-04,-9.18,9.38,-12.2,0.06
47,2020-08-29,4.22,10.9,1.2,1.58
48,2020-09-03,-2.91,18.98,-5.93,9.66
49,2020-09-28,9.08,18.14,6.06,8.82
50,2020-10-03,4.83,16.04,1.81,6.72
51,2020-11-12,-8.68,0.52,-11.7,-8.8
52,2020-11-27,16.89,-0.4,13.87,-9.72
53,2021-01-11,14.85,-3.88,11.83,-13.2
54,2021-01-25,21.45,-6.1,18.43,-15.42
55,2021-03-22,13.35,-9.48,10.33,-18.8
56,2021-04-16,0.14,16.74,-2.88,7.42
57,2021-05-01,17.05,3.2,14.03,-6.12
58,2021-05-31,-4.63,14.54,-7.65,5.22
59,2021-06-15,22.16,17.62,19.14,8.3
60,2021-06-30,18.47,11.9,15.45,2.58
61,2022-01-01,16.77,-5.08,13.75,-14.4
62,2022-05-04,-0.16,-1.0,-3.18,-10.32
63,2022-05-12,5.48,-1.1,2.46,-10.42
64,2022-06-05,14.32,1.8,11.3,-7.52
65,2022-06-10,3.94,18.72,0.92,9.4
66,2022-06-20,-11.78,18.72,-14.8,9.4
67,2022-06-21,7.29,1.8,4.27,-7.52
68,2022-07-15,-0.16,10.8,-3.18,1.48
69,2022-09-09,10.18,12.68,7.16,3.36
70,2022-10-23,18.25,17.68,15.23,8.36
71,2023-02-16,11.73,1.16,8.71,-8.16
72,2023-03-07,13.34,18.14,10.32,8.82
73,2023-05-15,1.0,4.96,-2.02,-4.36
74,2023-07-10,15.05,24.74,12.03,15.42
75,2023-07-30,1.59,23.04,-1.43,13.72
76,2023-09-18,18.76,25.48,15.74,16.16
77,2023-09-20,23.22,9.4,20.2,0.08
78,2023-10-03,16.62,27.22,13.6,17.9
79,2023-10-22,5.11,0.3,2.09,-9.02
80,2024-01-11,0.4,6.3,-2.62,-3.02
81,2024-02-05,10.96,1.84,7.94,-7.48
82,2024-02-11,10.12,21.64,7.1,12.32
83,2024-02-19,15.28,8.04,12.26,-1.28
84,2024-03-30,20.89,18.22,17.87,8.9
85,2024-04-23,17.28,16.44,14.26,7.12
86,2024-05-10,-0.09,16.34,-3.11,7.02
87,2024-05-15,17.9,14.68,14.88,5.36
88,2024-05-17,10.17,-0.04,7.15,-9.36
89,2024-07-12,19.15,3.86,16.13,-5.46
90,2024-08-13,14.15,6.14,11.13,-3.18
91,2024-08-21,24.18,11.2,21.16,1.88
92,2024-09-27,-1.14,22.14,-4.16,12.82
93,2024-10-07,-2.42,21.24,-5.44,11.92
94,2024-11-21,7.36,11.24,4.34,1.92
