,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,1999-11-30,0.0,0.0,0.0
1,2000-03-21,-3.21,1.99,1.23
2,2000-11-16,1.62,-0.65,-0.97
3,2001-01-03,0.85,-1.17,0.31
4,2003-01-25,0.61,0.41,-1.02
5,2003-12-03,-2.05,1.4,0.65
6,2004-02-05,1.19,0.08,-1.28
7,2005-02-23,-1.69,0.16,1.53
8,2005-03-27,29.02,-27.85,-1.17
9,2006-09-22,-28.46,27.79,0.67
10,2007-09-09,24.04,-24.57,0.53
11,2009-02-02,-9.83,23.4,-13.56
12,2010-02-21,-13.04,0.03,13.0
13,2011-01-23,-1.57,0.77,0.8
14,2011-02-08,0.02,0.0,-0.02
15,2011-03-12,29.41,-29.21,-0.2
16,2011-03-28,-0.41,1.16,-0.75
17,2013-09-25,-30.14,27.48,2.67
18,2014-01-15,-2.32,0.9,1.41
19,2014-03-20,1.61,-0.18,-1.43
20,2014-04-05,0.37,-0.9,0.53
21,2014-09-28,0.98,0.78,-1.76
22,2014-10-14,0.49,-1.25,0.76
23,2015-03-07,-1.39,1.43,-0.04
24,2015-12-04,0.47,-1.3,0.83
25,2016-01-05,2.61,0.71,-3.32
26,2016-03-09,15.4,-22.39,6.99
27,2016-03-25,-17.83,23.02,-5.19
28,2016-11-20,0.42,-1.56,1.14
29,2016-12-22,0.61,0.65,-1.27
30,2017-01-07,-1.7,0.12,1.57
31,2017-01-23,-0.8,0.66,0.14
32,2017-02-08,0.38,0.12,-0.5
33,2018-02-11,0.26,-0.02,-0.24
34,2019-01-04,25.62,-24.24,-1.38
35,2019-01-14,-20.17,22.75,-2.58
36,2019-01-29,3.14,0.35,-3.49
37,2019-02-14,0.84,0.09,-0.93
38,2019-08-27,-7.56,0.52,7.04
39,2019-09-01,-0.14,0.34,-0.2
40,2019-09-11,-0.2,0.07,0.13
41,2019-09-21,0.88,-1.65,0.77
42,2019-11-29,-2.87,1.58,1.29
43,2019-12-20,1.33,-1.29,-0.04
44,2019-12-30,-0.17,0.79,-0.63
45,2019-12-31,1.7,-0.08,-1.62
46,2020-02-01,-0.75,-0.09,0.85
47,2020-02-18,10.43,0.07,-10.49
48,2020-02-28,-12.26,0.12,12.14
49,2020-03-04,2.36,-0.02,-2.34
50,2020-03-19,-1.8,0.06,1.74
51,2020-03-24,-0.78,0.63,0.16
52,2020-03-29,1.24,-0.69,-0.55
53,2020-04-13,-0.42,-0.26,0.68
54,2020-04-23,0.23,0.89,-1.12
55,2020-05-07,-1.84,0.22,1.62
56,2020-07-17,2.49,-0.36,-2.14
57,2020-08-11,0.56,-1.04,0.48
58,2020-09-10,0.88,0.02,-0.9
59,2020-10-14,-2.89,1.11,1.78
60,2020-10-15,-0.43,0.07,0.36
61,2020-10-20,0.41,-0.17,-0.25
62,2020-11-19,-0.33,-0.02,0.35
63,2021-01-13,-0.99,0.34,0.65
64,2021-02-02,1.93,-1.14,-0.79
65,2021-02-12,-0.41,0.94,-0.53
66,2021-02-17,1.59,-1.06,-0.53
67,2021-04-13,-3.48,1.14,2.34
68,2021-04-23,1.43,-0.65,-0.79
69,2021-04-28,-1.87,0.61,1.26
70,2021-09-30,3.16,-1.86,-1.29
71,2021-10-01,-0.56,1.02,-0.46
72,2021-11-02,-1.44,1.04,0.4
73,2021-11-14,0.98,-1.02,0.04
74,2021-11-18,-0.99,0.98,0.02
75,2021-11-24,1.03,-0.98,-0.06
76,2021-12-29,25.72,-24.37,-1.36
77,2022-01-21,-15.01,25.03,-10.01
78,2022-01-28,-0.67,-0.76,1.43
79,2022-01-29,0.13,1.02,-1.14
80,2022-04-08,-9.8,-1.41,11.21
81,2022-10-05,-0.47,0.32,0.15
82,2022-10-15,-0.26,0.23,0.03
83,2022-11-05,0.08,0.76,-0.84
84,2022-11-09,5.24,-6.61,1.37
85,2022-11-14,-5.43,5.67,-0.25
86,2022-12-04,-0.06,0.4,-0.33
87,2022-12-24,23.63,-24.18,0.56
88,2022-12-29,1.77,-0.3,-1.47
89,2022-12-31,-24.39,23.9,0.49
90,2023-01-16,2.35,-0.31,-2.04
91,2023-03-05,-3.45,1.59,1.85
92,2023-03-13,1.5,-1.28,-0.22
93,2023-03-14,-0.09,-0.23,0.32
94,2023-03-19,15.29,-15.09,-0.2
95,2023-03-21,-20.71,16.62,4.09
96,2023-04-03,3.61,-0.22,-3.39
97,2023-08-20,0.53,-0.06,-0.47
98,2023-10-20,1.35,-1.0,-0.35
99,2023-11-24,-0.99,1.18,-0.2
100,2023-12-10,-0.6,-0.07,0.67
101,2024-01-08,3.61,-0.57,-3.04
102,2024-01-28,-4.3,0.4,3.91
103,2024-02-12,0.66,-0.02,-0.65
104,2024-02-20,1.33,0.03,-1.37
105,2024-02-22,26.23,-19.56,-6.66
106,2024-02-27,-22.37,19.55,2.82
107,2024-03-15,-4.24,-0.93,5.17
108,2024-03-28,-1.38,0.95,0.42
109,2024-04-17,-0.29,-0.85,1.14
110,2024-04-22,-1.03,0.94,0.09
111,2024-09-14,2.71,-0.9,-1.81
112,2024-09-24,1.39,-1.46,0.07
113,2024-09-29,-1.98,2.01,-0.03
114,2024-10-14,0.6,-0.23,-0.36
115,2024-10-19,0.05,0.55,-0.6
116,2024-11-02,-0.98,0.11,0.87
117,2024-11-23,1.88,-2.17,0.28
