,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,2000-01-26,0.0,0.0,0.0
1,2000-03-30,1.56,-1.82,0.26
2,2002-02-16,-0.52,0.26,0.26
3,2002-10-30,0.78,1.82,-2.6
4,2004-04-02,-1.82,-0.78,2.6
5,2004-05-04,0.52,-0.26,-0.26
6,2005-01-15,-0.26,1.04,-0.78
7,2005-03-04,-1.82,0.26,1.56
8,2005-04-05,2.86,-1.82,-1.04
9,2005-09-28,-1.82,1.82,0.0
10,2007-01-05,2.34,-1.56,-0.78
11,2015-09-08,-9.87,1.04,8.83
12,2017-03-05,-2.34,-6.49,8.83
13,2017-04-06,-3.64,3.64,0.0
14,2017-04-22,7.53,-7.79,0.26
15,2017-08-12,-8.83,7.53,1.3
16,2017-08-28,-10.39,10.91,-0.52
17,2018-08-31,8.83,-8.83,0.0
18,2018-10-18,-2.08,2.34,-0.26
19,2018-12-20,13.51,-4.68,-8.83
20,2019-01-26,3.9,-2.08,-1.82
21,2019-02-13,-4.94,2.34,2.6
22,2019-02-25,-11.43,2.6,8.83
23,2019-03-12,6.75,-6.75,0.0
24,2019-04-24,-14.55,14.03,0.52
25,2019-05-09,13.25,-13.25,0.0
26,2019-09-01,11.17,0.78,-11.95
27,2019-09-18,-1.56,3.64,-2.08
28,2019-09-23,-4.16,2.34,1.82
29,2019-10-03,-11.69,0.0,11.69
30,2019-10-05,-7.27,6.23,1.04
31,2019-10-18,17.92,-7.27,-10.65
32,2019-10-31,-0.52,1.56,-1.04
33,2019-11-02,-1.04,-0.0,1.04
34,2019-12-30,1.82,-0.26,-1.56
35,2020-01-14,2.08,-2.6,0.52
36,2020-02-18,3.38,-3.9,0.52
37,2020-04-13,-13.51,3.64,9.87
38,2020-04-14,-1.82,1.56,0.26
39,2020-04-18,5.97,-5.71,-0.26
40,2020-04-23,2.6,-2.86,0.26
41,2020-09-07,4.42,4.42,-8.83
42,2020-09-17,2.34,2.86,-5.19
43,2020-09-20,-0.26,-2.86,3.12
44,2020-09-22,-2.86,2.08,0.78
45,2020-09-25,1.04,-0.26,-0.78
46,2020-09-27,3.38,-1.82,-1.56
47,2020-10-20,-3.64,-0.0,3.64
48,2020-11-04,0.26,-0.78,0.52
49,2020-11-11,-6.23,-2.34,8.57
50,2020-12-09,0.26,0.26,-0.52
51,2020-12-11,3.38,-3.38,0.0
52,2020-12-19,-4.42,4.94,-0.52
53,2021-01-03,0.52,-1.3,0.78
54,2021-01-18,-4.94,5.19,-0.26
55,2021-02-02,9.61,-1.82,-7.79
56,2021-02-17,-2.08,-5.97,8.05
57,2021-03-04,-1.82,1.56,0.26
58,2021-03-16,0.26,-0.26,0.0
59,2021-04-18,5.97,1.3,-7.27
60,2021-09-10,-0.78,13.51,-12.73
61,2021-09-27,-3.12,-5.19,8.31
62,2021-09-30,5.45,-5.71,0.26
63,2021-11-14,-6.75,6.23,0.52
64,2021-11-16,9.61,-5.19,-4.42
65,2021-12-29,-4.68,-0.78,5.45
66,2022-06-09,-1.04,4.94,-3.9
67,2022-10-29,-4.68,-8.31,12.99
68,2024-03-13,1.3,-0.78,-0.52
69,2024-05-29,-0.26,-0.52,0.78
70,2024-09-09,0.26,8.83,-9.09
71,2024-09-24,0.52,-0.52,0.0
72,2024-10-10,-1.56,-7.27,8.83
73,2024-10-26,-9.87,25.71,-15.84
74,2024-11-23,16.88,-22.08,5.19
75,2025-03-05,-13.51,3.12,10.39
76,2025-03-20,10.39,-2.6,-7.79
77,2025-08-26,-4.68,-3.38,8.05
