,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,1999-08-26,0.0,0.0,-7.23,-17.4
1,2000-08-12,-4328.37,2.96,-4335.6,-14.44
2,2004-11-19,9.51,97.4,2.28,80.0
3,2005-04-12,-0.56,2.96,-7.79,-14.44
4,2011-03-12,-0.26,17.78,-7.49,0.38
5,2013-07-23,-1.47,24.06,-8.7,6.66
6,2013-12-30,1.95,19.26,-5.28,1.86
7,2014-08-27,8.81,15.18,1.58,-2.22
8,2015-01-02,7.7,18.14,0.47,0.74
9,2015-03-07,7.23,18.52,0.0,1.12
10,2015-06-11,-4305.59,24.44,-4312.82,7.04
11,2017-07-02,-4298.28,32.58,-4305.51,15.18
12,2018-02-27,3.28,19.26,-3.95,1.86
13,2018-03-31,2.22,10.36,-5.01,-7.04
14,2018-04-16,0.0,11.1,-7.23,-6.3
15,2018-06-19,11.83,11.84,4.6,-5.56
16,2018-07-21,-4282.51,21.84,-4289.74,4.44
17,2018-12-23,13.13,16.66,5.9,-0.74
18,2018-12-28,-4229.31,20.0,-4236.54,2.6
19,2019-02-28,9.49,20.36,2.26,2.96
20,2019-03-03,12.12,20.0,4.89,2.6
21,2019-03-28,27.86,21.1,20.63,3.7
22,2019-04-02,11.49,21.1,4.26,3.7
23,2019-04-07,14.45,19.62,7.22,2.22
24,2019-04-12,10.09,22.58,2.86,5.18
25,2019-08-27,11.26,20.36,4.03,2.96
26,2019-08-30,5.59,20.0,-1.64,2.6
27,2019-09-14,11.04,20.0,3.81,2.6
28,2019-10-06,-4294.42,19.62,-4301.65,2.22
29,2019-10-29,14.34,17.78,7.11,0.38
30,2019-11-13,10.87,19.26,3.64,1.86
31,2019-12-13,13.18,19.62,5.95,2.22
32,2020-01-27,17.81,18.52,10.58,1.12
33,2020-02-23,18.0,20.0,10.77,2.6
34,2020-03-04,4.47,18.88,-2.76,1.48
35,2020-09-15,11.31,17.4,4.08,0.0
36,2020-10-08,22.43,18.52,15.2,1.12
37,2020-10-14,7.24,14.06,0.01,-3.34
38,2020-11-24,8.71,18.14,1.48,0.74
39,2020-12-02,23.65,15.92,16.42,-1.48
40,2020-12-09,4.01,17.02,-3.22,-0.38
41,2020-12-27,16.22,18.52,8.99,1.12
42,2021-01-08,15.1,16.28,7.87,-1.12
43,2021-01-11,6.84,17.78,-0.39,0.38
44,2021-01-23,26.12,17.02,18.89,-0.38
45,2021-02-17,29.94,17.78,22.71,0.38
46,2021-02-20,24.63,19.26,17.4,1.86
47,2021-03-12,7.72,17.78,0.49,0.38
48,2021-04-16,18.16,20.74,10.93,3.34
49,2021-04-21,17.69,19.62,10.46,2.22
50,2021-08-06,7.17,20.74,-0.06,3.34
51,2021-08-19,14.95,18.88,7.72,1.48
52,2021-08-24,18.44,17.78,11.21,0.38
53,2021-08-30,-4309.59,20.0,-4316.82,2.6
54,2021-09-23,5.16,19.26,-2.07,1.86
55,2021-09-30,17.51,18.52,10.28,1.12
56,2021-11-04,13.27,17.78,6.04,0.38
57,2022-01-13,21.45,18.52,14.22,1.12
58,2022-02-06,25.58,18.52,18.35,1.12
59,2022-02-20,23.35,20.0,16.12,2.6
60,2022-03-02,5.1,20.0,-2.13,2.6
61,2022-03-19,6.99,20.36,-0.24,2.96
62,2022-07-24,38.78,12.22,31.55,-5.18
63,2022-08-25,11.3,18.52,4.07,1.12
64,2022-09-08,18.57,11.48,11.34,-5.92
65,2022-09-10,3.81,11.84,-3.42,-5.56
66,2022-09-30,25.84,18.52,18.61,1.12
67,2022-10-04,-4330.77,19.26,-4338.0,1.86
68,2022-10-30,38.82,19.62,31.59,2.22
69,2022-11-04,15.54,19.26,8.31,1.86
