Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
,LC08,2021-04-01,-0.76,-15.22,0.51,10.22,-8.76,5.08,34.36,1089.72,222.68
,LC08,2021-07-22,-0.08,-1.58,0.35,6.96,-0.4,3.4,44.4,1081.36,221.0
,S2,2021-08-03,-0.58,-11.56,0.38,7.56,-1.8,3.68,42.72,1082.76,221.28
,LC08,2021-09-01,-0.24,-4.9,0.41,8.24,-0.24,4.72,43.24,1081.08,222.32
,S2,2021-09-17,-0.19,-3.82,-0.07,-1.46,5.96,-1.04,55.2,1075.0,216.56
,LC08,2021-09-24,-0.95,-18.98,0.49,9.78,-13.04,7.0,28.16,1094.0,224.6
,S2,2021-11-06,-0.98,-19.6,0.21,4.12,-8.96,2.56,36.68,1089.92,220.16
,LC08,2021-12-29,-0.46,-9.1,-0.01,-0.26,-4.8,-0.64,44.04,1085.76,216.96
,LC09,2022-01-22,-1.86,-37.3,0.51,10.22,-17.32,5.64,25.24,1098.28,223.24
,LC09,2022-02-16,-0.66,-13.18,0.47,9.36,-6.32,5.24,36.64,1087.12,222.84
,S2,2022-02-22,-1.62,-32.4,0.1,1.98,-14.24,0.84,33.12,1095.2,218.44
,LC09,2022-03-11,-0.85,-16.94,0.3,6.0,-9.08,3.04,36.08,1090.04,220.64
,S2,2022-03-14,-0.82,-16.44,-0.08,-1.54,-5.72,-1.04,43.52,1086.68,216.56
,S2,2022-04-13,-0.69,-13.8,0.05,1.04,-4.28,0.36,43.56,1085.24,217.96
,LC08,2022-10-06,0.74,14.8,0.04,0.78,12.24,0.8,59.64,1068.72,218.4
,S2,2022-10-22,0.26,5.14,-0.16,-3.1,8.8,-1.8,58.8,1072.16,215.8
,LC09,2023-03-07,-1.8,-35.94,0.48,9.52,-15.44,6.56,26.2,1096.36,224.16
,S2,2023-03-14,-1.52,-30.44,0.24,4.9,-12.76,3.28,32.16,1093.72,220.88
,S2,2023-04-03,-0.74,-14.8,0.07,1.46,-3.8,0.84,43.56,1084.76,218.44
,LC08,2023-04-07,-3.9,-77.94,0.46,9.28,-25.16,6.12,16.92,1106.12,223.72
,S2,2023-04-10,-2.79,-55.72,0.31,6.18,-17.64,4.56,26.0,1098.6,222.16
,S2,2023-07-27,-0.91,-18.16,0.17,3.34,-7.24,2.56,38.4,1088.2,220.16
,LC09,2023-08-05,-0.9,-18.06,0.55,10.98,-15.08,8.16,24.96,1096.04,225.76
,S2,2023-08-21,-0.93,-18.58,0.24,4.9,-11.52,3.6,33.08,1092.48,221.2
,S2,2023-08-28,0.16,3.1,-0.1,-2.06,8.52,-0.92,57.64,1072.44,216.68
,LC09,2023-08-30,-0.23,-4.6,0.13,2.66,-1.04,2.28,44.88,1081.96,219.88
,LC08,2023-09-30,-0.92,-18.48,0.2,4.04,-13.36,3.88,30.96,1094.32,221.48
,LC08,2023-11-10,-0.3,-6.06,-0.16,-3.18,-1.32,-1.92,48.8,1082.28,215.68
,S2,2023-11-11,-0.57,-11.34,-0.14,-2.84,2.04,-1.4,51.64,1078.92,216.2
,LC09,2023-12-20,-0.31,-6.22,-0.0,-0.08,-0.32,0.44,47.44,1081.24,218.04
,S2,2024-01-25,-1.72,-34.36,-0.18,-3.7,-14.84,-1.96,35.32,1095.8,215.64
,S2,2024-02-04,-0.48,-9.52,-0.2,-4.04,5.64,-2.2,56.04,1075.32,215.4
,S2,2024-02-14,-1.59,-31.72,0.11,2.14,-13.48,1.08,33.64,1094.44,218.68
,S2,2024-02-27,-0.93,-18.68,-0.02,-0.34,473.84,-0.16,522.2,607.12,217.44
,S2,2024-03-05,-0.44,-8.7,-0.39,-7.82,5.04,-4.08,57.32,1075.92,213.52
,LC09,2024-03-09,-0.25,-5.06,0.01,0.18,-1.8,0.0,46.4,1082.68,217.6
,S2,2024-03-15,-0.54,-10.84,0.16,3.26,437.76,1.84,484.12,643.2,219.44
,LC09,2024-03-16,-0.4,-7.92,0.04,0.86,-3.0,0.68,44.52,1083.88,218.28
,S2,2024-03-18,-0.38,-7.68,-0.07,-1.38,-1.56,-0.72,47.36,1082.52,216.88
,S2,2024-03-30,-0.88,-17.66,0.13,2.58,-8.48,1.4,38.32,1089.44,219.0
,S2,2024-04-02,-0.47,-9.42,0.07,1.38,1.88,0.16,49.92,1079.08,217.76
,S2,2024-04-17,-0.72,-14.3,-0.68,-13.56,-2.32,-7.24,53.12,1083.28,210.36
,S2,2024-04-22,-0.37,-7.38,-0.02,-0.42,1.88,-0.28,50.36,1079.08,217.32
,S2,2024-07-11,-0.87,-17.46,0.14,2.84,-3.44,1.48,43.28,1084.4,219.08
,S2,2024-09-01,0.18,3.62,0.07,1.46,4.0,0.48,51.72,1076.96,218.08
,S2,2024-09-04,-0.78,-15.62,-0.07,-1.38,-6.56,-0.72,42.36,1087.52,216.88
,S2,2024-09-24,-0.44,-8.8,-0.03,-0.68,-2.44,-0.32,46.08,1083.4,217.28
,S2,2024-10-11,-0.48,-9.62,0.02,0.34,-1.76,0.16,46.28,1082.72,217.76
,S2,2025-01-24,0.03,0.66,-0.15,-2.92,2.2,-1.56,51.96,1078.76,216.04
,S2,2025-02-23,0.24,4.84,-0.21,-4.2,4.76,-2.28,55.24,1076.2,215.32
