Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
,S2,2023-10-19,-0.61,-12.14,-0.11,-2.12,-9.36,-2.6,16.08,1206.64,30.6
,S2,2023-12-08,0.38,7.68,-0.36,-7.3,6.52,-4.8,34.16,1190.76,28.4
,S2,2023-12-13,0.07,1.38,-0.33,-6.66,1.68,-3.36,27.88,1195.6,29.84
,S2,2024-02-06,0.62,12.5,-0.4,-8.08,9.08,-4.92,36.84,1188.2,28.28
,LC08,2024-02-23,0.46,9.12,-0.36,-7.3,5.6,-4.28,32.72,1191.68,28.92
,S2,2024-03-07,0.82,16.5,-0.5,-9.96,15.4,-5.68,43.92,1181.88,27.52
,S2,2024-03-17,0.44,8.88,-0.2,-4.0,5.32,-2.72,30.88,1191.96,30.48
,S2,2024-04-16,0.15,2.96,-0.41,-8.24,2.56,-5.16,30.56,1194.72,28.04
,S2,2024-04-21,0.73,14.56,-0.21,-4.16,12.24,-2.8,37.88,1185.04,30.4
,S2,2024-09-23,-0.59,-11.78,-0.26,-5.1,-7.72,-3.08,18.2,1205.0,30.12
,LC09,2024-10-12,0.32,6.46,-0.32,-6.36,2.56,-3.96,29.36,1194.72,29.24
,LC08,2024-10-20,-0.92,-18.3,-0.14,-2.74,-15.72,-4.04,11.16,1213.0,29.16
,S2,2024-10-23,-0.5,-9.96,-0.22,-4.48,-5.24,-2.92,20.52,1202.52,30.28
,S2,2024-10-28,0.87,17.34,-0.32,-6.36,20.12,-4.56,47.52,1177.16,28.64
,S2,2024-12-12,0.73,14.56,-0.43,-8.54,13.08,-5.24,41.16,1184.2,27.96
,S2,2025-01-26,0.75,14.92,-0.31,-6.2,13.28,-3.28,39.4,1184.0,29.92
,S2,2025-02-25,0.76,15.16,-0.36,-7.14,15.76,-3.52,42.12,1181.52,29.68
,S2,2025-03-02,-0.61,-12.26,-0.39,-7.76,-3.72,-4.24,23.36,1201.0,28.96
,S2,2025-03-07,-0.24,-4.78,-0.26,-5.1,-2.08,-3.08,23.84,1199.36,30.12
,LC09,2025-03-21,-0.38,-7.68,-0.22,-4.48,-5.52,-3.76,21.08,1202.8,29.44
,S2,2025-03-22,0.06,1.14,-0.2,-4.0,0.16,-2.64,25.64,1197.12,30.56
,LC08,2025-05-16,-0.26,-5.14,-0.22,-4.32,-3.72,-3.52,22.64,1200.92,29.68
