Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LC08,2013-08-31,,,-0.23,-4.64,2.6,-76.28,133.68,234.96,647.68
,LC08,2013-10-18,,,-0.09,-1.78,0.0,-58.8,113.6,237.56,665.16
,LC08,2014-07-17,,,-0.46,-9.1,-0.28,-40.68,95.2,237.84,683.28
,LC08,2015-08-05,,,-0.2,-4.08,-0.2,-60.12,114.72,237.76,663.84
,LC08,2015-10-24,,,-0.5,-9.94,2.28,-80.36,137.44,235.28,643.6
,LC08,2016-01-12,,,0.08,1.5,-0.56,-13.2,67.44,238.12,710.76
,LC08,2017-06-07,,,-0.25,-5.0,1.16,-92.16,148.12,236.4,631.8
,LC08,2018-05-09,,,-0.05,-1.02,2.64,-20.92,78.36,234.92,703.04
,LC08,2018-05-25,,,-0.07,-1.36,1.72,-46.76,103.28,235.84,677.2
,LC08,2018-07-12,,,0.02,0.46,0.24,-60.88,115.92,237.32,663.08
,S2,2018-12-28,,,-0.47,-9.32,9.32,-39.4,103.52,228.24,684.56
,S2,2019-01-22,,,-0.85,-16.92,-0.28,-142.88,197.4,237.84,581.08
,S2,2019-04-02,,,-0.8,-16.1,33.72,-96.44,184.96,203.84,627.52
,S2,2019-11-03,,,-0.72,-14.34,28.44,-88.96,172.2,209.12,635.0
,S2,2019-11-23,,,-0.71,-14.28,10.2,-61.32,126.32,227.36,662.64
,LC08,2020-07-01,,,-0.29,-5.76,2.24,-112.44,169.48,235.32,611.52
,S2,2020-08-29,,,-0.03,-0.6,20.8,-21.8,97.4,216.76,702.16
,S2,2020-09-03,,,0.11,2.26,11.12,-16.8,82.72,226.44,707.16
,S2,2020-10-03,,,-0.29,-5.82,0.56,-57.4,112.76,237.0,666.56
,S2,2020-11-27,,,-0.31,-6.18,0.16,-29.92,84.88,237.4,694.04
,S2,2021-04-16,,,-0.07,-1.36,28.16,-0.52,83.48,209.4,723.44
,S2,2021-08-09,,,0.25,5.06,32.72,-12.12,99.64,204.84,711.84
,S2,2021-08-14,,,0.14,2.82,30.88,-14.28,99.96,206.68,709.68
,LC09,2022-05-12,,,-0.28,-5.68,2.32,-28.44,85.56,235.16,695.52
,LC09,2022-07-15,,,0.11,2.2,-0.48,-37.8,92.12,238.04,686.16
,LC08,2022-09-09,,,0.16,3.1,0.52,-29.08,84.4,237.04,694.88
,LC08,2023-02-16,,,0.08,1.58,2.76,5.08,52.48,234.8,729.04
,S2,2023-07-30,,,0.33,6.66,31.88,-28.16,114.84,205.68,695.8
,S2,2023-09-18,,,0.34,6.8,1.0,-17.36,73.16,236.56,706.6
,LC09,2023-09-20,,,0.46,9.18,0.04,-1.72,56.56,237.52,722.24
,S2,2023-10-03,,,0.56,11.2,39.4,6.32,87.88,198.16,730.28
,S2,2023-12-07,,,-0.35,-6.94,11.36,-37.76,103.92,226.2,686.2
,S2,2023-12-17,,,-0.01,-0.18,8.92,1.88,61.84,228.64,725.84
,LC09,2024-03-30,,,-0.27,-5.42,0.08,-170.92,225.8,237.48,553.04
,LC09,2024-06-02,,,-0.0,-0.04,2.48,-21.52,78.8,235.08,702.44
,LC08,2024-07-12,,,-0.05,-0.94,1.16,-51.4,107.36,236.4,672.56
,LC08,2024-08-13,,,-0.03,-0.66,2.88,-51.68,109.36,234.68,672.28
,S2,2024-09-17,,,0.22,4.3,39.32,-33.88,128.0,198.24,690.08
,S2,2024-11-21,,,-0.34,-6.8,-0.04,-30.68,85.44,237.6,693.28
