Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LC08,2013-04-27,9.97,199.34,0.13,2.66,172.28,0.08,201.6,691.04,8.08
,S2,2018-12-15,0.97,19.48,0.93,18.66,37.96,1.32,66.04,825.36,9.32
,S2,2019-03-20,-0.82,-16.3,0.93,18.66,-6.68,1.12,21.6,870.0,9.12
,S2,2019-05-04,-0.28,-5.62,0.87,17.34,2.68,0.76,31.32,857.52,8.76
,S2,2019-06-18,-0.46,-9.18,0.67,13.34,-3.0,0.6,25.8,830.24,8.6
,S2,2019-11-20,0.97,19.48,0.87,17.34,30.72,1.48,58.64,832.6,9.48
,S2,2020-01-24,-0.74,-14.86,0.93,18.66,-5.84,1.8,21.76,869.16,9.8
,S2,2020-03-14,0.85,16.96,0.27,5.34,21.24,0.32,50.32,842.08,8.32
,S2,2020-04-03,1.05,21.0,-0.07,-1.34,33.68,-0.04,63.12,829.64,7.96
,S2,2020-12-19,0.72,14.46,0.93,18.66,20.6,1.8,48.2,842.72,9.8
,S2,2021-02-02,0.78,15.52,0.93,18.66,16.16,1.8,43.76,847.16,9.8
,S2,2021-03-19,0.86,17.22,0.87,17.34,25.64,1.48,53.56,836.84,9.48
,S2,2021-05-03,1.92,38.4,1.27,25.38,52.08,1.68,79.8,811.24,9.68
,S2,2022-01-13,0.94,18.82,1.41,28.26,23.4,1.8,51.0,839.92,9.8
,S2,2022-01-28,0.97,19.34,1.36,27.3,29.88,1.76,57.52,833.44,9.76
,S2,2022-02-27,0.76,15.12,0.93,18.66,16.28,1.76,43.92,847.04,9.76
,LC09,2022-03-27,0.86,17.1,2.06,41.3,16.72,2.48,43.64,846.6,10.48
,S2,2023-06-07,0.48,9.7,1.41,28.26,7.6,1.8,35.2,855.72,9.8
,S2,2023-08-21,-0.29,-5.74,1.36,27.3,-2.04,1.72,25.64,865.36,9.72
,S2,2023-11-09,0.55,11.02,1.6,32.1,14.76,1.96,42.2,848.56,9.96
,S2,2024-02-27,-0.66,-13.14,1.6,32.1,-4.28,1.96,23.16,867.6,9.96
,S2,2024-04-02,0.93,18.68,0.93,18.66,34.2,1.6,62.0,829.12,9.6
,S2,2024-05-07,-0.8,-16.04,1.51,30.18,-13.64,1.84,13.92,876.96,9.84
,S2,2024-07-11,0.8,16.04,1.27,25.38,25.36,1.76,53.0,837.96,9.76
,S2,2024-12-18,-0.46,-9.18,1.72,34.32,-4.2,2.24,22.96,867.52,10.24
,S2,2025-02-11,-0.65,-13.0,1.7,34.02,-6.68,2.04,20.68,870.0,10.04
,S2,2025-04-22,1.93,38.6,0.93,18.66,50.32,1.76,77.96,813.0,9.76
,LC08,2025-04-28,0.95,19.08,1.72,34.32,329.28,2.2,356.48,534.04,10.2
,S2,2025-06-16,1.38,27.5,1.41,28.26,34.04,1.96,61.48,829.28,9.96
,S2,2025-06-21,2.08,41.54,1.7,34.02,48.6,2.24,75.76,814.72,10.24
,S2,2025-07-26,-0.43,-8.64,1.6,32.1,-5.0,1.96,22.44,868.32,9.96
