,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2003-10-07,0.0,0.0,-6.54,-5.12
1,2004-11-19,-101.79,-0.26,-108.33,-5.38
2,2013-06-28,4.98,11.4,-1.56,6.28
3,2013-07-23,-1.0,10.0,-7.54,4.88
4,2013-08-08,1.52,10.76,-5.02,5.64
5,2013-08-31,15.81,12.04,9.27,6.92
6,2013-11-19,14.0,12.42,7.46,7.3
7,2014-01-22,11.79,14.22,5.25,9.1
8,2014-04-21,9.0,13.96,2.46,8.84
9,2014-08-18,7.6,12.68,1.06,7.56
10,2014-09-03,13.61,13.32,7.07,8.2
11,2014-09-19,9.77,13.46,3.23,8.34
12,2015-04-15,6.82,11.54,0.28,6.42
13,2015-05-01,7.12,13.2,0.58,8.08
14,2015-06-27,30.08,13.46,23.54,8.34
15,2015-08-21,4.11,9.1,-2.43,3.98
16,2015-10-17,-2.97,7.56,-9.51,2.44
17,2016-04-26,15.73,7.18,9.19,2.06
18,2016-09-08,10.18,1.78,3.64,-3.34
19,2017-04-20,12.12,3.96,5.58,-1.16
20,2017-05-06,14.33,7.94,7.79,2.82
21,2017-07-02,-0.29,11.54,-6.83,6.42
22,2017-07-09,1.58,1.78,-4.96,-3.34
23,2017-09-27,8.47,9.22,1.93,4.1
24,2018-03-06,22.53,7.42,15.99,2.3
25,2018-04-16,4.16,4.48,-2.38,-0.64
26,2018-05-02,4.59,2.82,-1.95,-2.3
27,2018-07-28,11.9,2.42,5.36,-2.7
28,2018-08-29,14.49,2.82,7.95,-2.3
29,2018-09-07,16.69,2.04,10.15,-3.08
30,2018-12-23,12.21,15.38,5.67,10.26
31,2019-02-03,11.04,4.36,4.5,-0.76
32,2019-02-21,2.91,8.46,-3.63,3.34
33,2019-03-03,17.05,9.74,10.51,4.62
34,2019-05-21,6.99,8.96,0.45,3.84
35,2019-07-15,3.47,10.5,-3.07,5.38
36,2019-10-03,8.65,4.6,2.11,-0.52
37,2019-10-19,11.38,3.84,4.84,-1.28
38,2020-01-23,9.63,4.22,3.09,-0.9
39,2020-03-11,11.48,10.0,4.94,4.88
40,2020-06-08,-6.21,6.54,-12.75,1.42
41,2020-08-27,8.14,9.1,1.6,3.98
42,2020-09-23,9.38,6.02,2.84,0.9
43,2020-10-08,15.32,1.54,8.78,-3.58
44,2020-10-23,8.19,14.6,1.65,9.48
45,2020-11-02,18.12,14.22,11.58,9.1
46,2020-11-12,5.67,9.48,-0.87,4.36
47,2021-01-11,5.47,8.84,-1.07,3.72
48,2021-01-13,15.36,11.78,8.82,6.66
49,2021-02-05,14.0,3.32,7.46,-1.8
50,2021-02-20,16.33,9.22,9.79,4.1
51,2021-08-05,-1.44,3.96,-7.98,-1.16
52,2021-08-30,3.04,8.84,-3.5,3.72
53,2021-09-06,8.37,4.48,1.83,-0.64
54,2021-11-04,12.87,15.76,6.33,10.64
55,2021-12-24,25.47,17.68,18.93,12.56
56,2022-01-28,18.93,10.12,12.39,5.0
57,2022-02-07,18.36,8.58,11.82,3.46
58,2022-02-20,23.6,3.2,17.06,-1.92
59,2022-03-19,9.03,8.58,2.49,3.46
60,2022-04-10,11.27,14.36,4.73,9.24
61,2022-05-05,17.73,3.58,11.19,-1.54
62,2022-05-28,8.7,7.56,2.16,2.44
63,2022-06-21,34.38,8.46,27.84,3.34
64,2022-06-30,-10.25,3.06,-16.79,-2.06
65,2022-08-09,1.85,3.2,-4.69,-1.92
66,2022-08-25,4.34,3.96,-2.2,-1.16
67,2022-09-09,2.42,1.54,-4.12,-3.58
68,2022-09-10,3.77,3.2,-2.77,-1.92
69,2022-10-04,-104.19,13.32,-110.73,8.2
70,2022-10-19,1.33,5.0,-5.21,-0.12
71,2022-11-14,14.81,4.1,8.27,-1.02
72,2023-01-08,15.82,14.36,9.28,9.24
73,2023-02-12,21.05,3.84,14.51,-1.28
74,2023-02-25,20.57,3.46,14.03,-1.66
75,2023-02-27,10.58,6.4,4.04,1.28
76,2023-03-09,14.28,6.78,7.74,1.66
77,2023-03-17,4.91,3.96,-1.63,-1.16
78,2023-04-14,18.23,8.58,11.69,3.46
79,2023-04-29,11.83,8.2,5.29,3.08
80,2023-05-07,13.21,4.74,6.67,-0.38
81,2023-05-24,5.58,-3.46,-0.96,-8.58
82,2023-07-27,4.77,-1.94,-1.77,-7.06
83,2023-08-27,12.96,2.94,6.42,-2.18
84,2023-09-04,18.11,-3.46,11.57,-8.58
85,2023-09-12,3.05,2.18,-3.49,-2.94
86,2023-11-02,11.54,0.24,5.0,-4.88
87,2023-12-27,6.83,8.46,0.29,3.34
88,2024-01-26,10.28,14.6,3.74,9.48
89,2024-01-28,16.48,3.84,9.94,-1.28
90,2024-02-15,19.32,4.86,12.78,-0.26
91,2024-02-22,12.83,4.86,6.29,-0.26
92,2024-03-01,23.78,4.74,17.24,-0.38
93,2024-03-06,5.38,10.5,-1.16,5.38
94,2024-04-16,7.26,10.5,0.72,5.38
95,2024-05-27,4.3,4.86,-2.24,-0.26
96,2024-06-02,5.64,8.46,-0.9,3.34
97,2024-08-05,9.19,0.5,2.65,-4.62
98,2024-08-13,8.16,6.92,1.62,1.8
99,2024-08-23,9.66,7.42,3.12,2.3
100,2024-08-29,5.99,4.86,-0.55,-0.26
101,2024-09-07,-5.57,10.0,-12.11,4.88
102,2024-09-22,11.31,8.32,4.77,3.2
103,2024-09-23,1.44,10.88,-5.1,5.76
104,2024-10-24,8.14,5.38,1.6,0.26
105,2024-11-11,3.45,4.86,-3.09,-0.26
106,2024-11-16,10.91,5.38,4.37,0.26
107,2025-01-27,12.3,5.0,5.76,-0.12
108,2025-03-03,21.55,9.48,15.01,4.36
109,2025-03-18,22.48,9.36,15.94,4.24
110,2025-03-28,11.4,5.12,4.86,0.0
