Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
,S2,2021-09-10,-14.63,-292.62,,,13.32,-1.64,17.96,1189.72,28.6
,S2,2021-09-30,-33.81,-676.14,,,21.52,-2.0,26.52,1181.52,28.24
,S2,2021-10-15,,,,,217.24,-5.72,225.96,985.8,24.52
,S2,2021-10-30,-6.54,-130.84,,,5.04,-4.12,12.16,1198.0,26.12
,S2,2021-11-09,,,,,0.44,-2.96,6.4,1202.6,27.28
,S2,2021-12-21,,,,,8.92,-6.0,17.92,1194.12,24.24
,S2,2022-01-15,,,,,345.2,-5.6,353.8,857.84,24.64
,S2,2022-01-20,,,,,307.48,-4.28,314.76,895.56,25.96
,LC08,2022-02-15,,,,,1.56,-3.64,8.2,1201.2,26.6
,S2,2022-02-17,-13.12,-262.34,,,12.56,-1.72,17.28,1190.48,28.52
,S2,2022-10-05,-12.99,-259.76,,,19.76,-2.64,25.4,1183.28,27.6
,S2,2022-11-06,-3.02,-60.4,,,35.4,-5.68,44.08,1167.64,24.56
,S2,2022-11-14,-13.95,-278.96,,,11.4,-2.96,17.36,1191.64,27.28
,S2,2022-12-11,-45.39,-907.78,,,34.2,-5.72,42.92,1168.84,24.52
,S2,2022-12-24,,,,,-1.36,-3.2,4.84,1204.4,27.04
,S2,2023-02-19,-14.38,-287.58,,,22.16,-1.88,27.04,1180.88,28.36
,S2,2023-03-01,-23.04,-460.82,,,29.0,-3.64,35.64,1174.04,26.6
,S2,2023-03-06,-14.5,-290.1,,,30.32,-1.12,34.44,1172.72,29.12
,LC09,2023-03-14,,,,,9.88,-5.36,18.24,1193.16,24.88
,S2,2023-04-03,-32.96,-659.1,,,31.12,-1.28,35.4,1171.92,28.96
,S2,2023-08-16,-14.57,-291.36,,,19.6,-0.76,23.36,1183.44,29.48
,S2,2023-08-31,-15.06,-301.24,,,20.44,-1.32,24.76,1182.6,28.92
,LC09,2023-09-06,,,,,10.0,-5.36,18.36,1192.92,24.88
,S2,2023-10-05,-14.57,-291.36,,,19.72,-4.24,26.96,1183.32,26.0
,S2,2023-10-12,,,,,242.32,-3.64,248.96,960.72,26.6
,S2,2023-10-15,-13.18,-263.64,,,14.36,-4.56,21.92,1188.68,25.68
,S2,2023-10-17,-34.86,-697.3,,,25.56,-1.52,30.08,1177.48,28.72
,S2,2023-10-27,-52.54,-1050.9,,,36.6,-3.24,42.84,1166.44,27.0
,S2,2023-11-11,-15.31,-306.24,,,22.64,-3.32,28.96,1180.4,26.92
,S2,2023-12-19,,,,,4.72,-8.76,16.48,1198.32,21.48
,S2,2024-01-28,,,,,5.48,-6.08,14.56,1197.56,24.16
,S2,2024-02-12,-20.45,-408.94,,,31.76,-3.8,38.56,1171.28,26.44
,LC08,2024-02-21,,,,,9.52,-7.2,19.72,1193.52,23.04
,S2,2024-03-05,-18.54,-370.88,,,30.12,-8.08,41.2,1172.92,22.16
,S2,2024-03-15,-17.19,-343.74,,,22.4,-4.68,30.08,1180.64,25.56
,S2,2024-03-20,-16.64,-332.82,,,31.68,-4.6,39.28,1171.36,25.64
,S2,2024-04-07,-14.5,-290.1,,,20.64,-2.64,26.28,1182.4,27.6
,S2,2024-04-17,-47.15,-943.02,,,31.92,-3.92,38.84,1171.12,26.32
,S2,2024-04-22,-12.28,-245.54,,,18.36,-2.84,24.2,1184.68,27.4
,S2,2024-04-27,-13.18,-263.64,,,22.84,-2.68,28.52,1180.2,27.56
,S2,2024-05-02,-14.5,-290.1,,,21.44,-3.4,27.84,1181.6,26.84
,S2,2024-05-09,-15.06,-301.24,,,19.56,-1.32,23.88,1183.48,28.92
,LC09,2024-08-23,,,,,9.88,-5.72,18.6,1192.6,24.52
,S2,2024-09-01,-9.89,-197.74,,,20.0,-5.48,28.48,1183.04,24.76
,LC09,2024-09-24,,,,,10.72,-5.68,19.4,1192.24,24.56
,S2,2024-09-29,-12.41,-248.18,,,19.48,-4.96,27.44,1183.56,25.28
,S2,2024-10-04,,,,,85.96,-3.56,92.52,1117.08,26.68
,LC09,2024-10-10,,,,,10.44,-5.72,19.16,1192.24,24.52
,S2,2024-10-11,-20.39,-407.72,,,24.2,-5.04,32.24,1178.84,25.2
,S2,2024-10-16,-14.5,-290.1,,,20.72,-5.6,29.32,1182.32,24.64
,LC08,2024-10-18,,,,,379.28,-5.48,387.76,823.76,24.76
,S2,2024-10-19,-15.31,-306.24,,,21.12,-2.24,26.36,1181.92,28.0
,S2,2024-10-21,-21.65,-433.06,,,24.0,-2.2,29.2,1179.04,28.04
,S2,2024-10-31,-41.55,-831.02,,,54.16,-2.48,59.64,1148.88,27.76
,S2,2024-11-10,,,,,57.52,-6.36,66.88,1145.52,23.88
,S2,2024-11-18,,,,,-0.12,-5.04,7.92,1203.16,25.2
,S2,2024-11-20,-14.44,-288.84,,,22.0,-4.44,29.44,1181.04,25.8
,S2,2024-11-30,,,,,52.28,-2.12,57.4,1150.76,28.12
