Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-10-24,0.77,15.42,-5.0,-100.0,37.84,-15.36,188.12,733.6,119.92
,LE07,2000-01-19,0.78,15.5,-5.0,-100.0,33.28,-10.72,178.92,738.16,124.56
,LE07,2000-02-20,0.78,15.5,-5.0,-100.0,18.12,-4.68,157.72,753.32,130.6
,LE07,2000-09-15,0.4,8.06,-5.0,-100.0,14.64,-21.6,171.16,756.8,113.68
,LE07,2000-10-26,0.8,15.94,-5.0,-100.0,34.56,-12.24,181.72,736.88,123.04
,LE07,2001-01-05,0.9,18.1,-5.0,-100.0,43.08,-16.56,194.56,728.36,118.72
,LE07,2001-01-21,0.89,17.74,-5.0,-100.0,33.44,-21.36,189.72,738.0,113.92
,LE07,2001-09-18,0.42,8.48,-5.0,-100.0,15.36,-14.84,165.12,756.08,120.44
,LE07,2002-02-25,0.74,14.8,-5.0,-100.0,25.52,-4.56,165.0,745.92,130.72
,LE07,2002-09-05,0.76,15.24,-5.0,-100.0,30.2,-9.36,174.48,741.24,125.92
,LE07,2002-10-23,0.22,4.42,-5.0,-100.0,13.04,-8.56,156.52,758.4,126.72
,LE07,2003-03-16,0.79,15.84,-5.0,-100.0,15.56,-5.4,155.88,755.88,129.88
,LT05,2003-10-18,0.42,8.32,-5.0,-100.0,17.36,-8.48,160.76,754.08,126.8
,LT05,2003-11-19,0.81,16.28,-5.0,-100.0,32.96,-23.88,191.76,738.48,111.4
,LT05,2004-10-20,-0.07,-1.48,-5.0,-100.0,-9.08,-4.84,130.68,780.52,130.44
,LT05,2005-02-18,0.75,14.98,-5.0,-100.0,21.96,-4.72,161.6,749.48,130.56
,LT05,2005-03-06,0.86,17.22,-5.0,-100.0,27.64,-8.68,171.24,743.8,126.6
,LT05,2005-08-20,0.34,6.76,-5.0,-100.0,6.36,-5.12,146.4,765.08,130.16
,LT05,2005-11-08,-0.28,-5.54,-5.0,-100.0,-3.32,-8.92,140.52,774.76,126.36
,LT05,2006-02-12,0.67,13.42,-5.0,-100.0,14.2,-4.8,153.92,757.24,130.48
,LT05,2006-02-28,0.32,6.5,-0.36,-7.14,-0.04,-11.76,146.64,771.48,123.52
,LT05,2011-10-24,0.74,14.8,-5.0,-100.0,25.44,-5.72,166.08,746.0,129.56
,LC08,2013-10-06,0.06,1.12,0.0,0.0,1.44,-0.16,136.52,770.0,135.12
,LC08,2013-10-29,0.73,14.64,0.19,3.8,20.36,0.12,155.16,751.08,135.4
,LC08,2014-09-07,0.93,18.62,0.0,0.0,33.08,-0.24,168.24,738.28,135.04
,LC08,2014-11-01,0.58,11.68,0.14,2.86,11.4,-0.08,146.4,760.04,135.2
,LC08,2015-01-04,0.93,18.62,-0.4,-8.1,31.52,-1.12,167.56,739.92,134.16
,LC08,2015-01-20,0.92,18.44,0.0,0.0,29.76,-0.08,164.76,741.68,135.2
,LC08,2015-04-19,-0.32,-6.32,0.14,2.86,-6.6,-5.56,133.88,778.04,129.72
