Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-08-26,-0.07,-1.46,-0.07,-1.34,-0.04,-29.76,38.64,1142.84,118.44
,LE07,2000-09-20,0.11,2.14,-0.07,-1.34,396.76,-24.44,430.12,746.04,123.76
,LE07,2000-12-18,-2.9,-57.9,-0.07,-1.34,-7.2,-17.16,18.88,1150.0,131.04
,LE07,2002-03-11,-0.2,-3.96,-0.07,-1.34,-1.0,-2.16,10.08,1143.8,146.04
,LE07,2002-04-12,0.05,1.02,-0.07,-1.34,7.12,-20.36,36.4,1135.68,127.84
,LE07,2002-05-14,-0.66,-13.22,-0.07,-1.34,2.28,-47.08,58.28,1140.52,101.12
,LT05,2004-11-19,-3.0,-60.0,6.12,122.3,-8.92,-30.04,30.04,1151.72,118.16
,LT05,2005-04-12,-0.11,-2.14,-0.07,-1.34,459.36,-5.92,474.2,683.44,142.28
,LT05,2007-09-09,-0.27,-5.32,-0.07,-1.34,488.72,-59.48,557.12,654.08,88.72
,LC08,2014-03-20,0.88,17.52,-0.07,-1.34,13.0,-6.16,28.08,1129.8,142.04
,LC08,2014-08-27,0.97,19.32,-0.07,-1.34,256.88,-14.4,280.2,885.92,133.8
,LC08,2016-04-17,-0.23,-4.64,-0.07,-1.34,3.56,-14.32,26.8,1139.24,133.88
,LC08,2017-04-20,-0.57,-11.42,0.63,12.54,0.08,1.16,7.84,1142.72,149.36
,LC08,2017-07-02,0.02,0.34,0.33,6.66,4.8,-20.32,34.04,1138.0,127.88
,LC08,2018-02-27,0.13,2.6,-0.97,-19.46,6.36,-36.84,52.12,1136.44,111.36
,LC08,2018-03-06,0.01,0.12,-0.97,-19.46,4.8,-32.28,46.0,1138.0,115.92
,LC08,2018-03-22,0.07,1.46,-0.97,-19.46,0.4,-36.84,46.16,1142.4,111.36
,LC08,2018-03-31,0.83,16.62,-2.29,-45.78,18.16,-21.12,48.2,1124.64,127.08
,LC08,2018-04-16,0.29,5.76,-0.44,-8.8,7.52,-15.8,32.24,1135.28,132.4
,LC08,2018-07-21,-0.34,-6.9,0.44,8.8,-3.16,-6.56,12.32,1145.96,141.64
,S2,2018-12-13,-2.92,-58.36,-0.07,-1.34,-2.6,-26.16,32.48,1145.4,122.04
,S2,2018-12-23,0.8,15.94,-0.07,-1.34,18.52,-21.84,49.28,1124.28,126.36
,S2,2018-12-28,-2.9,-57.9,0.55,10.94,-7.2,-18.76,20.48,1150.0,129.44
,S2,2019-01-04,0.89,17.74,0.6,12.0,17.56,-6.8,33.28,1125.24,141.4
,S2,2019-02-03,0.75,15.02,-0.07,-1.34,15.16,-5.12,29.2,1127.64,143.08
,LC08,2019-02-05,0.45,8.92,-0.07,-1.34,8.24,-2.28,19.44,1134.56,145.92
,LC08,2019-02-14,-0.36,-7.12,0.49,9.86,-3.2,1.04,4.68,1146.0,149.24
