,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
140,2022-11-14,-3.97,3.9,0.07
141,2022-12-23,-0.88,0.87,0.01
142,2022-12-29,29.25,-29.05,-0.21
143,2022-12-31,-28.73,28.8,-0.07
144,2023-01-08,45.4,-45.56,0.16
145,2023-01-16,-45.08,45.19,-0.1
146,2023-03-05,-0.64,0.38,0.26
147,2023-03-13,0.5,-0.37,-0.13
148,2023-03-14,0.3,-0.33,0.03
149,2023-03-19,-0.84,0.68,0.15
150,2023-03-29,0.13,0.0,-0.14
151,2023-04-03,0.17,-0.31,0.14
152,2023-04-14,-0.14,0.3,-0.15
153,2023-04-23,-0.15,0.01,0.14
154,2023-05-13,21.71,-21.73,0.02
155,2023-06-26,-21.29,21.42,-0.13
156,2023-08-16,-0.46,0.32,0.14
157,2023-08-20,0.12,0.01,-0.12
158,2023-08-31,-0.12,-0.01,0.12
159,2023-09-15,0.5,-0.5,0.0
160,2023-10-20,0.31,-0.2,-0.11
161,2023-10-30,-0.83,0.72,0.11
162,2023-11-17,0.23,-0.01,-0.22
163,2023-11-19,-0.01,-0.02,0.03
164,2023-11-24,48.25,-48.26,0.02
165,2023-12-10,-48.22,48.28,-0.06
166,2023-12-24,39.28,-39.2,-0.07
167,2023-12-29,-39.29,39.21,0.08
168,2024-01-08,30.54,-30.45,-0.09
169,2024-01-11,-30.61,30.44,0.16
170,2024-01-28,0.04,0.0,-0.05
171,2024-02-21,0.02,-0.01,-0.01
172,2024-02-27,-0.03,-0.01,0.04
173,2024-03-28,-0.02,-0.0,0.02
174,2024-04-17,0.67,-0.66,-0.02
175,2024-04-22,-0.82,0.66,0.16
176,2024-04-27,0.39,-0.3,-0.1
177,2024-05-02,0.89,-0.85,-0.04
178,2024-08-05,-0.78,0.64,0.14
179,2024-08-20,-0.16,0.15,0.01
180,2024-08-31,-0.14,0.37,-0.23
181,2024-09-04,-0.16,-0.01,0.17
182,2024-09-09,0.1,0.01,-0.11
183,2024-09-14,0.63,-0.64,0.01
184,2024-09-29,-0.63,0.62,0.01
185,2024-10-14,0.04,0.01,-0.06
186,2024-10-19,-0.17,-0.01,0.18
187,2024-11-02,0.09,0.01,-0.1
188,2024-11-11,0.88,-0.76,-0.12
189,2024-12-04,-0.76,0.76,0.01
190,2024-12-08,43.2,-43.22,0.02
191,2024-12-13,-43.28,43.22,0.06
192,2024-12-29,-0.02,0.0,0.02
193,2025-01-05,0.13,-0.01,-0.12
194,2025-01-21,0.44,-0.38,-0.06
195,2025-01-22,-0.48,0.37,0.11
196,2025-02-06,0.4,-0.3,-0.1
197,2025-02-07,-0.04,0.01,0.03
198,2025-02-21,0.28,-0.35,0.07
199,2025-02-22,-0.26,0.34,-0.08
200,2025-03-08,1.05,-1.15,0.1
201,2025-03-28,-1.63,1.45,0.18
202,2025-05-02,1.2,-1.05,-0.15
203,2025-06-23,-0.82,0.75,0.08
204,2025-08-25,-0.36,0.31,0.06
205,2025-08-26,0.06,0.01,-0.07
