Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-11-21,2.84,56.74,0.19,3.78,16.6,-9.2,41.12,680.68,92.28
,LE07,1999-12-07,2.84,56.74,0.2,4.0,16.6,-8.08,40.0,680.68,93.4
,LE07,2000-11-07,3.0,60.0,0.33,6.66,20.08,-2.92,38.32,677.2,98.56
,LE07,2001-02-27,3.0,60.0,0.37,7.34,20.64,0.0,35.96,676.64,101.48
,LE07,2001-09-07,2.81,56.26,0.37,7.34,145.52,2.36,158.48,551.76,103.84
,LT05,2003-11-24,0.59,11.8,0.21,4.22,10.16,0.56,24.92,687.12,102.04
,LT05,2004-01-27,2.54,50.72,0.21,4.22,15.92,-0.4,31.64,681.36,101.08
,LT05,2004-11-26,0.21,4.18,0.22,4.44,5.24,-0.8,21.36,692.04,100.68
,LT05,2005-01-29,3.0,60.0,0.51,10.22,252.48,4.52,263.28,444.8,106.0
,LT05,2005-11-13,-0.46,-9.16,0.3,6.0,-3.2,-3.12,15.24,700.48,98.36
,LT05,2006-10-31,0.63,12.68,0.12,2.44,9.64,1.44,23.52,687.64,102.92
,LC08,2013-10-18,0.55,10.92,0.76,15.12,9.4,6.04,18.68,687.88,107.52
,LC08,2013-12-21,2.58,51.54,0.78,15.56,15.4,6.28,24.44,681.88,107.76
,LC08,2014-09-03,2.54,50.88,0.23,4.66,16.4,2.48,29.24,680.88,103.96
,LC08,2014-10-21,0.39,7.84,0.76,15.12,7.56,5.04,17.84,689.72,106.52
,LC08,2014-11-06,0.69,13.84,0.67,13.34,11.0,5.36,20.96,686.28,106.84
,LC08,2015-02-26,2.46,49.26,0.76,15.12,14.88,6.12,24.08,682.4,107.6
,LC08,2016-03-16,2.52,50.4,0.77,15.34,16.44,6.24,25.52,680.84,107.72
,LC08,2018-11-01,0.94,18.82,0.32,6.44,12.44,3.08,24.68,684.84,104.56
,LC08,2018-12-03,-0.33,-6.66,0.29,5.78,-2.6,1.48,11.24,699.88,102.96
,S2,2018-12-23,0.54,10.76,0.03,0.66,5.32,0.68,19.96,691.96,102.16
,S2,2019-01-02,-0.71,-14.28,0.02,0.44,-6.8,-1.16,9.68,704.08,100.32
,S2,2019-01-07,-0.77,-15.46,-0.2,-4.0,-7.0,-2.04,10.36,704.28,99.44
,S2,2019-01-27,2.46,49.26,0.21,4.22,15.88,1.56,29.64,681.4,103.04
,LC08,2019-03-09,0.28,5.64,0.78,15.56,12.24,4.6,22.96,685.04,106.08
,S2,2019-04-07,0.96,19.12,0.4,8.0,13.8,2.32,26.8,683.48,103.8
,S2,2019-12-08,-0.46,-9.3,0.24,4.88,-4.08,1.2,10.04,701.36,102.68
,S2,2020-01-02,0.8,16.04,0.08,1.56,12.72,0.68,27.36,684.56,102.16
,S2,2020-01-17,2.5,50.06,0.13,2.66,16.0,0.92,30.4,681.28,102.4
,S2,2020-09-18,0.66,13.12,0.48,9.56,9.4,2.08,22.64,687.88,103.56
,S2,2020-10-08,2.64,52.84,0.17,3.34,16.2,1.12,30.4,681.08,102.6
,S2,2020-10-13,0.68,13.7,0.09,1.78,9.04,0.36,24.0,688.24,101.84
,LC08,2020-10-21,2.8,56.1,0.28,5.56,17.04,2.72,29.64,680.24,104.2
,S2,2020-10-23,2.62,52.34,0.06,1.12,15.84,0.56,30.6,681.44,102.04
,LC08,2020-12-08,0.82,16.48,0.77,15.34,12.76,5.56,22.52,684.52,107.04
,S2,2020-12-27,2.51,50.24,0.1,2.0,14.84,0.76,29.4,682.44,102.24
,S2,2021-02-25,2.56,51.2,0.14,2.88,15.2,1.0,29.52,682.08,102.48
,S2,2021-03-12,2.57,51.38,0.17,3.34,15.96,1.0,30.28,681.32,102.48
,LC08,2021-03-30,2.8,55.92,0.79,15.78,18.2,6.08,27.44,679.08,107.56
,S2,2021-09-23,0.14,2.72,0.14,2.88,4.68,0.96,19.04,692.6,102.44
,LC08,2021-10-08,0.3,6.08,0.81,16.22,6.24,5.12,16.44,691.04,106.6
,S2,2021-10-13,2.57,51.38,0.11,2.22,15.44,0.88,29.88,681.84,102.36
