,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,2000-12-20,0.0,0.0,0.0
1,2001-03-10,3.94,-3.94,0.0
2,2001-09-18,-4.16,3.92,0.25
3,2002-07-10,42.88,-42.82,-0.06
4,2002-12-01,-42.64,42.84,-0.2
5,2003-01-02,-0.0,0.0,0.0
6,2003-02-19,43.24,-43.25,0.01
7,2005-04-05,-19.0,18.76,0.24
8,2010-01-29,-24.26,24.49,-0.23
9,2013-05-13,-0.64,0.05,0.59
10,2013-11-30,-0.02,-0.07,0.09
11,2014-03-13,0.38,0.02,-0.4
12,2014-03-22,-0.38,0.0,0.37
13,2014-09-30,0.07,0.0,-0.07
14,2015-09-24,-0.16,0.01,0.16
15,2016-08-18,0.06,-0.02,-0.05
16,2016-10-12,-0.05,0.01,0.05
17,2017-01-25,0.35,-0.02,-0.33
18,2017-02-26,-0.17,-0.0,0.17
19,2018-02-04,0.35,-0.51,0.16
20,2018-10-18,24.44,-24.54,0.11
21,2019-02-25,-23.7,25.08,-1.38
22,2019-02-28,4.88,-5.16,0.28
23,2019-03-30,-1.51,0.6,0.9
24,2019-10-21,32.36,-32.49,0.12
25,2019-11-20,-6.86,7.1,-0.24
26,2019-12-27,-28.5,28.78,-0.29
27,2020-02-23,2.02,-1.91,-0.11
28,2020-02-25,2.08,-2.08,0.0
29,2020-03-06,-1.24,1.25,-0.01
30,2020-03-14,0.71,-0.75,0.04
31,2020-03-21,15.44,-15.45,0.02
32,2020-11-14,-20.19,19.78,0.41
33,2020-12-11,0.32,-0.3,-0.02
34,2020-12-29,-0.57,0.61,-0.05
35,2021-02-12,9.0,-8.56,-0.45
36,2021-05-13,-7.85,7.4,0.45
37,2021-12-22,-1.17,1.17,0.0
38,2021-12-29,37.83,-38.01,0.18
39,2022-01-03,7.35,-7.13,-0.22
40,2022-01-15,-44.05,44.28,-0.23
41,2022-01-28,37.73,-37.56,-0.17
42,2022-01-30,-38.4,38.41,-0.01
43,2022-04-28,2.86,-3.51,0.64
44,2022-09-03,-3.47,3.54,-0.07
45,2022-10-21,0.11,0.01,-0.12
46,2022-11-22,44.76,-44.96,0.19
47,2023-01-03,-44.69,44.92,-0.22
48,2023-02-09,24.51,-24.46,-0.05
49,2023-02-10,-24.07,23.97,0.1
50,2023-03-14,3.52,-3.65,0.13
51,2023-03-22,-4.21,4.19,0.02
52,2023-07-14,45.34,-45.35,0.01
53,2023-07-28,-45.34,45.31,0.03
54,2023-09-17,1.8,-1.75,-0.05
55,2023-09-30,-1.82,1.77,0.05
56,2023-10-08,37.53,-37.45,-0.09
57,2023-12-19,-37.21,37.44,-0.23
58,2023-12-31,23.25,-23.1,-0.15
59,2024-01-10,-19.19,19.24,-0.05
60,2024-02-21,17.59,-16.81,-0.78
61,2024-03-08,-12.73,12.72,0.0
62,2024-03-20,-6.89,6.89,0.0
63,2024-03-28,-0.48,0.47,0.01
64,2024-04-17,32.82,-33.61,0.79
65,2024-05-19,-34.31,33.81,0.5
66,2024-10-04,3.07,-3.09,0.02
67,2024-11-10,5.75,-5.62,-0.13
68,2024-11-11,15.43,-15.52,0.09
69,2024-11-19,-6.11,6.18,-0.07
