Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
0.0,LE07,1999-10-04,-9.39,-187.78,-0.53,-10.66,-32.72,-14.72,44.64,840.44,103.04
,LE07,2003-01-16,-0.85,-17.06,7.0,140.0,-20.32,42.2,0.12,828.04,159.96
,LT05,2006-02-17,-5.75,-115.04,-0.5,-10.0,-24.4,-12.84,51.08,832.12,104.92
,LT05,2007-10-02,-4.6,-91.96,0.45,8.94,-21.44,9.36,31.84,829.16,127.12
,LT05,2010-01-27,-0.58,-11.58,-0.65,-12.98,-6.64,-19.04,75.04,814.36,98.72
,LC08,2013-08-31,0.58,11.68,0.18,3.58,7.52,3.16,67.0,800.2,120.92
,LC08,2014-02-23,0.27,5.48,-0.5,-9.94,2.52,-10.04,75.2,805.2,107.72
,LC08,2014-03-27,0.5,10.1,-0.48,-9.66,6.04,-10.68,79.36,801.68,107.08
,LC08,2014-09-19,-0.74,-14.74,0.32,6.42,-9.96,7.2,45.48,817.68,124.96
,LC08,2015-02-26,0.42,8.32,-0.4,-7.94,4.68,-7.08,74.4,803.04,110.68
,LC08,2016-10-10,0.58,11.58,0.28,5.56,6.12,6.2,62.56,801.6,123.96
,LC08,2017-08-10,-0.95,-19.06,0.61,12.18,-16.12,13.84,32.68,823.84,131.6
,LC08,2018-05-09,0.83,16.52,0.1,1.98,11.84,2.88,71.6,795.88,120.64
,S2,2018-12-28,-0.66,-13.16,-0.18,-3.7,-5.04,-2.04,59.64,812.76,115.72
,S2,2019-01-07,-0.74,-14.74,-0.12,-2.46,-5.64,0.32,56.68,813.36,118.08
,S2,2019-02-16,0.91,18.2,-0.24,-4.76,13.24,-1.36,77.24,794.48,116.4
,S2,2019-03-03,0.71,14.12,-0.23,-4.64,10.8,-1.32,74.76,796.92,116.44
,S2,2019-03-13,0.4,7.9,-0.3,-5.96,3.08,-3.56,69.28,804.64,114.2
,S2,2019-03-23,-0.88,-17.58,-0.1,-1.92,-7.6,0.64,54.4,815.32,118.4
,LC08,2019-03-25,-0.23,-4.64,-0.01,-0.2,-1.88,0.16,60.6,809.6,117.92
,S2,2019-04-02,0.92,18.32,-0.23,-4.64,8.36,-2.76,73.76,799.36,115.0
,LC08,2019-04-26,0.83,16.52,0.09,1.72,8.96,2.72,68.88,798.76,120.48
,S2,2019-08-20,-0.92,-18.32,0.75,14.96,-8.0,14.48,40.16,815.72,132.24
,S2,2019-12-28,-1.68,-33.62,-0.17,-3.44,-13.76,-0.48,49.36,821.48,117.28
,S2,2020-02-01,0.9,18.0,-0.18,-3.5,8.0,-0.4,71.04,799.72,117.36
,S2,2020-02-11,-1.78,-35.64,-0.08,-1.52,-14.92,0.84,46.88,822.64,118.6
,S2,2020-03-17,0.68,13.66,-0.36,-7.22,10.52,-3.88,77.04,797.2,113.88
,S2,2020-04-01,1.05,21.08,-0.24,-4.9,14.96,-2.08,79.68,792.76,115.68
,S2,2020-04-21,0.99,19.8,-0.13,-2.64,14.2,0.08,76.76,793.52,117.84
,S2,2020-09-03,-0.84,-16.74,0.76,15.3,-7.08,15.32,40.24,814.8,133.08
,S2,2020-11-27,-0.26,-5.26,0.09,1.78,-1.92,3.2,57.52,809.64,120.96
,S2,2021-02-25,0.38,7.68,0.09,1.72,7.32,2.76,67.2,800.4,120.52
,S2,2021-04-16,-0.25,-5.06,0.3,5.96,-1.84,6.16,54.64,809.56,123.92
,S2,2021-05-01,0.03,0.64,0.24,4.84,0.32,5.12,57.84,807.4,122.88
,LC08,2021-08-21,-0.32,-6.32,0.8,16.1,-2.72,19.0,40.92,810.44,136.76
,S2,2021-12-07,-5.88,-117.52,0.52,10.34,-25.72,11.52,25.4,833.44,129.28
,LC09,2021-12-19,-0.47,-9.48,0.42,8.34,-4.48,6.88,51.28,812.2,124.64
,LC08,2022-05-04,-0.8,-16.1,4.15,83.04,-9.12,38.0,15.52,816.84,155.76
,LC09,2022-05-12,0.77,15.36,-0.39,-7.82,12.28,-65.68,140.6,795.44,52.08
,S2,2022-06-10,0.74,14.74,-0.12,-2.32,8.92,-26.76,98.32,798.8,91.0
,S2,2022-08-29,-0.92,-18.42,0.97,19.48,-9.2,26.88,26.56,816.92,144.64
,S2,2022-10-23,-0.96,-19.16,0.85,17.08,-11.24,20.32,31.08,818.96,138.08
,S2,2023-01-31,-2.56,-51.16,0.72,14.3,-16.28,15.32,31.04,824.0,133.08
,LC08,2023-02-16,-0.25,-5.06,0.74,14.7,-2.36,16.84,43.44,810.08,134.6
,LC08,2023-06-08,-0.95,-18.94,0.97,19.48,-17.96,31.4,13.28,825.68,149.16
,LC09,2023-07-02,-0.77,-15.48,0.87,17.36,-9.72,23.24,29.68,817.44,141.0
,S2,2023-07-10,-0.65,-12.94,0.94,18.8,-6.48,24.08,32.08,814.2,141.84
,S2,2023-07-30,0.68,13.58,0.93,18.68,7.92,23.64,46.92,799.8,141.4
,S2,2023-09-08,-0.24,-4.84,0.92,18.42,-1.6,23.04,38.0,809.32,140.8
,S2,2023-09-18,-0.98,-19.58,0.95,18.94,-13.8,24.68,24.16,821.52,142.44
,LC09,2023-09-20,-0.87,-17.36,0.92,18.48,-12.0,26.6,24.04,819.72,144.36
,S2,2023-10-03,-0.93,-18.64,2.68,53.7,-10.08,26.88,25.68,817.8,144.64
,LC09,2023-10-22,-0.34,-6.74,0.8,15.96,-3.04,21.48,38.12,810.76,139.24
,S2,2023-11-12,-0.97,-19.48,0.91,18.22,-13.12,23.0,26.52,820.84,140.76
,LC08,2023-11-15,-3.66,-73.26,0.91,18.22,-19.88,25.76,17.0,827.6,143.52
,S2,2024-01-16,-3.79,-75.72,0.72,14.44,-21.36,15.52,25.76,829.08,133.28
,S2,2024-02-05,0.18,3.68,0.32,6.5,2.08,9.12,55.6,805.64,126.88
,LC09,2024-03-30,-0.1,-2.0,0.62,12.38,-0.64,14.6,47.4,808.36,132.36
,LC08,2024-04-23,-0.21,-4.22,0.67,13.38,-1.72,15.64,45.28,809.44,133.4
