,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,1999-10-13,0.0,0.0,-82.42,-19.58
1,1999-11-30,146.33,0.42,63.91,-19.16
2,2000-01-26,132.56,4.16,50.14,-15.42
3,2000-02-27,93.42,14.58,11.0,-5.0
4,2000-11-09,21.21,2.08,-61.21,-17.5
5,2001-01-03,148.06,0.42,65.64,-19.16
6,2001-09-09,139.08,0.42,56.66,-19.16
7,2001-10-11,144.52,0.42,62.1,-19.16
8,2002-01-22,139.2,1.24,56.78,-18.34
9,2002-02-16,-2.03,12.5,-84.45,-7.08
10,2002-05-07,101.29,13.74,18.87,-5.84
11,2003-03-07,74.38,2.92,-8.04,-16.66
12,2003-04-15,27.44,1.24,-54.98,-18.34
13,2004-10-02,8.84,-38.04,-73.58,-57.62
14,2004-11-03,88.25,0.42,5.83,-19.16
15,2005-01-31,82.27,-37.2,-0.15,-56.78
16,2005-09-12,136.46,2.92,54.04,-16.66
17,2005-11-22,133.07,1.24,50.65,-18.34
18,2006-03-14,21.45,14.16,-60.97,-5.42
19,2006-11-02,17.83,11.66,-64.59,-7.92
20,2010-01-29,27.06,15.0,-55.36,-4.58
21,2013-08-08,21.89,11.66,-60.53,-7.92
22,2013-08-17,93.95,16.24,11.53,-3.34
23,2013-09-02,89.78,15.42,7.36,-4.16
24,2013-11-12,107.43,11.66,25.01,-7.92
25,2013-11-21,76.39,15.42,-6.03,-4.16
26,2013-12-30,24.11,11.66,-58.31,-7.92
27,2014-01-24,138.24,15.0,55.82,-4.58
28,2014-03-04,76.39,1.24,-6.03,-18.34
29,2014-03-20,77.05,0.42,-5.37,-19.16
30,2014-04-05,94.39,0.82,11.97,-18.76
31,2014-04-30,24.78,16.24,-57.64,-3.34
32,2014-08-27,94.27,11.66,11.85,-7.92
33,2014-09-28,83.35,11.66,0.93,-7.92
34,2015-01-27,133.95,0.0,51.53,-19.58
35,2015-02-12,131.42,15.0,49.0,-4.58
36,2015-02-28,105.22,16.24,22.8,-3.34
37,2015-04-24,134.48,11.66,52.06,-7.92
38,2015-09-24,77.57,16.24,-4.85,-3.34
39,2015-10-01,74.5,11.66,-7.92,-7.92
40,2015-10-26,30.02,16.24,-52.4,-3.34
41,2015-11-11,22.61,16.24,-59.81,-3.34
42,2016-01-05,105.36,11.66,22.94,-7.92
43,2016-01-30,141.79,16.24,59.37,-3.34
44,2016-02-06,97.7,11.66,15.28,-7.92
45,2016-03-18,111.09,15.42,28.67,-4.16
46,2016-08-16,157.75,11.66,75.33,-7.92
47,2016-09-10,131.62,15.42,49.2,-4.16
48,2017-04-22,100.78,15.42,18.36,-4.16
49,2017-05-08,94.16,15.42,11.74,-4.16
50,2017-07-18,134.35,11.66,51.93,-7.92
51,2017-10-31,103.5,16.24,21.08,-3.34
52,2017-11-16,23.19,16.24,-59.23,-3.34
53,2017-12-02,28.84,11.66,-53.58,-7.92
54,2018-09-07,90.82,11.66,8.4,-7.92
55,2018-10-18,140.23,16.24,57.81,-3.34
56,2018-11-03,104.12,15.42,21.7,-4.16
57,2018-12-21,26.39,11.66,-56.03,-7.92
58,2019-01-04,102.78,13.74,20.36,-5.84
59,2019-01-24,96.6,13.34,14.18,-6.24
60,2019-02-03,115.17,2.08,32.75,-17.5
61,2019-02-07,102.09,17.08,19.67,-2.5
62,2019-02-08,100.28,0.82,17.86,-18.76
63,2019-02-13,147.87,-54.08,65.45,-73.66
64,2019-02-14,137.23,11.66,54.81,-7.92
