,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
141,2022-10-07,1.63,-1.62,-0.01
142,2022-10-17,-2.8,2.92,-0.12
143,2022-10-21,1.16,-1.3,0.14
144,2022-11-14,0.07,-0.06,-0.01
145,2022-11-22,-2.31,2.51,-0.2
146,2022-12-04,0.59,-0.59,-0.01
147,2022-12-24,-0.58,0.58,0.01
148,2022-12-26,11.66,-11.76,0.11
149,2023-01-02,-9.08,8.95,0.14
150,2023-01-10,1.42,-1.41,-0.02
151,2023-01-15,7.96,-7.87,-0.09
152,2023-01-23,-10.03,9.98,0.05
153,2023-02-07,-1.44,1.62,-0.18
154,2023-03-14,5.34,-5.53,0.2
155,2023-03-22,-5.5,5.52,-0.02
156,2023-04-03,7.52,-7.56,0.04
157,2023-04-08,-2.1,2.12,-0.02
158,2023-04-16,-3.82,3.77,0.05
159,2023-06-10,-0.5,0.47,0.03
160,2023-06-24,31.38,-31.32,-0.07
161,2023-07-13,-32.88,33.1,-0.22
162,2023-07-28,1.58,-1.86,0.28
163,2023-08-13,-1.23,1.32,-0.09
164,2023-09-06,0.96,-0.95,-0.01
165,2023-09-12,0.14,-0.11,-0.04
166,2023-10-08,0.36,-0.37,0.02
167,2023-10-17,3.42,-3.48,0.06
168,2023-10-22,0.28,-0.26,-0.03
169,2023-10-27,-1.73,1.72,0.01
170,2023-11-11,-2.7,2.82,-0.12
171,2023-11-17,0.86,-0.95,0.09
172,2023-11-21,2.84,-2.76,-0.09
173,2023-12-06,-3.96,4.03,-0.07
174,2024-01-03,-0.77,0.78,-0.01
175,2024-01-10,0.41,-0.42,0.01
176,2024-02-04,33.95,-34.01,0.06
177,2024-02-12,-30.6,30.6,-0.0
178,2024-03-13,9.31,-9.31,0.0
179,2024-03-16,-11.3,11.25,0.05
180,2024-04-22,11.4,-11.36,-0.04
181,2024-04-27,-3.11,3.1,0.02
182,2024-05-02,-1.99,1.97,0.02
183,2024-05-19,-7.16,7.08,0.08
184,2024-05-28,0.58,-0.7,0.12
185,2024-06-04,-0.38,0.42,-0.04
186,2024-06-20,-0.41,0.49,-0.08
187,2024-08-31,-0.33,0.51,-0.18
188,2024-09-17,1.26,-1.45,0.19
189,2024-09-29,4.61,-4.61,0.0
190,2024-10-03,-4.5,4.48,0.02
191,2024-10-16,7.17,-7.09,-0.09
192,2024-10-19,-7.35,7.26,0.1
193,2024-10-21,4.03,-4.03,-0.01
194,2024-11-10,-4.97,5.18,-0.21
195,2024-11-11,1.21,-1.36,0.15
196,2024-11-12,0.69,-0.77,0.09
197,2024-11-23,-1.04,1.14,-0.1
198,2024-12-05,5.3,-5.25,-0.05
