,date,normalised_IW_shoreline_position,normalised_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,1999-09-06,0.0,0.0,9.44,-5.6
1,1999-10-08,-16.06,0.0,-6.62,-5.6
2,2000-04-01,3.64,-2.14,13.08,-7.74
3,2001-04-04,-11.48,-5.86,-2.04,-11.46
4,2001-04-20,-13.7,-5.86,-4.26,-11.46
5,2001-10-13,-7.24,-3.74,2.2,-9.34
6,2001-10-29,-12.74,-5.86,-3.3,-11.46
7,2002-04-07,-14.8,-5.86,-5.36,-11.46
8,2003-05-12,-17.62,-1.06,-8.18,-6.66
9,2003-11-28,-22.04,0.54,-12.6,-5.06
10,2004-09-11,-13.54,-3.2,-4.1,-8.8
11,2004-10-13,-19.2,-3.2,-9.76,-8.8
12,2005-08-29,-12.74,1.6,-3.3,-4.0
13,2006-04-10,-23.3,-4.8,-13.86,-10.4
14,2006-04-26,-17.16,-5.86,-7.72,-11.46
15,2013-04-29,-17.62,-3.74,-8.18,-9.34
16,2014-01-10,-8.96,-5.86,0.48,-11.46
17,2014-02-11,-5.82,-3.2,3.62,-8.8
18,2014-02-27,4.74,-3.74,14.18,-9.34
19,2014-09-07,5.04,-1.6,14.48,-7.2
20,2014-10-25,-22.82,0.54,-13.38,-5.06
21,2014-11-10,-26.6,0.54,-17.16,-5.06
22,2014-11-26,-19.04,0.0,-9.6,-5.6
23,2015-04-03,-15.26,-5.86,-5.82,-11.46
24,2015-04-19,-20.62,-1.6,-11.18,-7.2
25,2015-06-06,9.62,-4.8,19.06,-10.4
26,2015-10-28,-25.82,0.0,-16.38,-5.6
27,2016-04-21,-6.3,-4.8,3.14,-10.4
28,2016-06-08,-24.24,-1.06,-14.8,-6.66
29,2016-08-27,-4.88,-3.2,4.56,-8.8
30,2016-09-12,-9.76,-3.2,-0.32,-8.8
31,2016-12-17,-109.44,0.0,-100.0,-5.6
32,2017-08-14,-26.6,-1.06,-17.16,-6.66
33,2017-08-30,-18.58,0.0,-9.14,-5.6
34,2017-10-01,-9.92,-2.66,-0.48,-8.26
35,2018-05-29,87.66,-1.06,97.1,-6.66
36,2018-08-17,-22.82,0.0,-13.38,-5.6
37,2018-10-04,-13.06,-1.06,-3.62,-6.66
38,2019-01-03,-2.66,-1.06,6.78,-6.66
39,2019-01-18,-3.18,-0.54,6.26,-6.14
40,2019-02-12,-20.0,-2.66,-10.56,-8.26
41,2019-02-17,0.48,-2.66,9.92,-8.26
42,2019-03-04,3.78,-5.86,13.22,-11.46
43,2019-08-31,-13.54,-1.6,-4.1,-7.2
44,2019-10-20,-22.52,-1.6,-13.08,-7.2
45,2019-11-04,-15.58,-1.6,-6.14,-7.2
46,2019-12-04,-10.38,-3.2,-0.94,-8.8
47,2019-12-19,-18.58,-3.74,-9.14,-9.34
48,2019-12-29,-18.26,-2.66,-8.82,-8.26
49,2020-01-11,-17.0,-5.34,-7.56,-10.94
50,2020-01-28,-22.98,-4.26,-13.54,-9.86
51,2020-02-12,-24.4,0.54,-14.96,-5.06
52,2020-02-27,-18.58,-5.34,-9.14,-10.94
53,2020-08-30,10.08,-0.54,19.52,-6.14
54,2020-09-09,-13.7,-4.8,-4.26,-10.4
55,2020-10-04,-4.24,-3.2,5.2,-8.8
56,2020-10-24,8.04,-1.06,17.48,-6.66
57,2020-11-13,20.32,-3.74,29.76,-9.34
58,2020-12-08,6.78,-1.06,16.22,-6.66
59,2020-12-18,-16.06,-2.66,-6.62,-8.26
60,2021-01-22,-0.14,-3.2,9.3,-8.8
61,2021-02-21,3.16,-5.86,12.6,-11.46
62,2021-04-03,-15.9,-6.94,-6.46,-12.54
63,2021-04-17,-7.56,-1.6,1.88,-7.2
64,2021-07-21,7.42,-1.06,16.86,-6.66
65,2021-08-25,-22.52,-3.2,-13.08,-8.8
66,2021-09-04,10.08,11.2,19.52,5.6
67,2021-10-29,2.84,11.2,12.28,5.6
68,2021-12-18,-0.78,7.46,8.66,1.86
69,2021-12-23,-20.46,6.94,-11.02,1.34
70,2022-01-02,7.56,6.94,17.0,1.34
71,2022-01-22,-24.24,-1.6,-14.8,-7.2
72,2022-03-05,-21.56,-1.06,-12.12,-6.66
73,2022-04-14,-12.12,-1.6,-2.68,-7.2
74,2022-04-30,-13.38,-2.66,-3.94,-8.26
75,2022-08-04,-15.26,-2.14,-5.82,-7.74
76,2022-08-20,-13.7,-2.66,-4.26,-8.26
77,2022-11-03,-0.46,1.06,8.98,-4.54
78,2022-12-03,0.32,-1.06,9.76,-6.66
79,2023-02-06,-2.82,-2.14,6.62,-7.74
80,2023-02-21,-13.22,0.0,-3.78,-5.6
81,2023-03-08,-24.88,-1.06,-15.44,-6.66
82,2023-04-12,-19.2,11.2,-9.76,5.6
83,2023-05-11,-28.18,-1.6,-18.74,-7.2
84,2023-07-14,-3.62,-4.26,5.82,-9.86
85,2023-08-20,-18.26,1.6,-8.82,-4.0
86,2023-08-31,-6.14,-1.6,3.3,-7.2
87,2023-09-19,-14.48,0.0,-5.04,-5.6
88,2023-10-09,4.58,0.0,14.02,-5.6
89,2023-11-13,8.36,11.2,17.8,5.6
90,2023-11-27,-14.96,0.0,-5.52,-5.6
91,2023-12-08,1.58,-1.6,11.02,-7.2
92,2023-12-13,-5.82,-3.74,3.62,-9.34
93,2024-01-07,9.62,-1.06,19.06,-6.66
94,2024-01-12,0.0,-0.54,9.44,-6.14
95,2024-01-22,7.42,-3.74,16.86,-9.34
96,2024-02-06,3.48,-3.2,12.92,-8.8
97,2024-02-11,-3.3,11.2,6.14,5.6
98,2024-02-15,-14.16,-2.14,-4.72,-7.74
99,2024-02-16,-2.82,-2.66,6.62,-8.26
100,2024-02-23,-2.98,-8.0,6.46,-13.6
101,2024-03-07,3.16,-5.86,12.6,-11.46
102,2024-03-17,-1.1,-2.14,8.34,-7.74
